"GO.ID" "Term" "Annotated" "Significant" "Expected" "weightFisher"
"32" "GO:0009734" "auxin-activated signaling pathway" 81 6 6.11 "0.02247"
"33" "GO:0005985" "sucrose metabolic process" 19 4 1.43 "0.02298"
"34" "GO:0080167" "response to karrikin" 41 4 3.09 "0.02445"
"35" "GO:0071555" "cell wall organization" 196 12 14.78 "0.02597"
"36" "GO:0055114" "oxidation-reduction process" 285 14 21.5 "0.02664"
"37" "GO:1903507" "negative regulation of nucleic acid-temp..." 116 6 8.75 "0.02693"
"38" "GO:0045184" "establishment of protein localization" 211 8 15.92 "0.02700"
"39" "GO:0055078" "sodium ion homeostasis" 3 2 0.23 "0.02704"
"40" "GO:0016102" "diterpenoid biosynthetic process" 8 2 0.6 "0.02706"
"41" "GO:0019365" "pyridine nucleotide salvage" 1 1 0.08 "0.02715"
"42" "GO:0019521" "D-gluconate metabolic process" 1 1 0.08 "0.02715"
"43" "GO:0045951" "positive regulation of mitotic recombina..." 1 1 0.08 "0.02715"
"44" "GO:0010400" "rhamnogalacturonan I side chain metaboli..." 1 1 0.08 "0.02715"
"45" "GO:0010198" "synergid death" 1 1 0.08 "0.02715"
"46" "GO:0080127" "fruit septum development" 1 1 0.08 "0.02715"
"47" "GO:0043693" "monoterpene biosynthetic process" 1 1 0.08 "0.02715"
"48" "GO:0051484" "isopentenyl diphosphate biosynthetic pro..." 1 1 0.08 "0.02715"
"49" "GO:0010069" "zygote asymmetric cytokinesis in embryo ..." 1 1 0.08 "0.02715"
"50" "GO:0032928" "regulation of superoxide anion generatio..." 1 1 0.08 "0.02715"
"51" "GO:0010086" "embryonic root morphogenesis" 1 1 0.08 "0.02715"
"52" "GO:0033354" "chlorophyll cycle" 1 1 0.08 "0.02715"
"53" "GO:0071918" "urea transmembrane transport" 1 1 0.08 "0.02715"
"54" "GO:1903224" "regulation of endodermal cell differenti..." 1 1 0.08 "0.02715"
"55" "GO:0031204" "posttranslational protein targeting to m..." 1 1 0.08 "0.02715"
"56" "GO:0007229" "integrin-mediated signaling pathway" 1 1 0.08 "0.02715"
"57" "GO:0048759" "xylem vessel member cell differentiation" 1 1 0.08 "0.02715"
"58" "GO:0010274" "hydrotropism" 1 1 0.08 "0.02715"
"59" "GO:0007219" "Notch signaling pathway" 1 1 0.08 "0.02715"
"60" "GO:0010220" "positive regulation of vernalization res..." 1 1 0.08 "0.02715"
"61" "GO:0006110" "regulation of glycolytic process" 1 1 0.08 "0.02715"
"62" "GO:0046167" "glycerol-3-phosphate biosynthetic proces..." 1 1 0.08 "0.02715"
"63" "GO:0010234" "anther wall tapetum cell fate specificat..." 1 1 0.08 "0.02715"
"64" "GO:0071836" "nectar secretion" 1 1 0.08 "0.02715"
"65" "GO:0090706" "specification of plant organ position" 1 1 0.08 "0.02715"
"66" "GO:0009051" "pentose-phosphate shunt, oxidative branc..." 1 1 0.08 "0.02715"
"67" "GO:1902001" "fatty acid transmembrane transport" 1 1 0.08 "0.02715"
"68" "GO:0051245" "negative regulation of cellular defense ..." 1 1 0.08 "0.02715"
"69" "GO:0006799" "polyphosphate biosynthetic process" 1 1 0.08 "0.02715"
"70" "GO:0006782" "protoporphyrinogen IX biosynthetic proce..." 1 1 0.08 "0.02715"
"71" "GO:0000740" "nuclear membrane fusion" 1 1 0.08 "0.02715"
"72" "GO:0035429" "gluconate transmembrane transport" 1 1 0.08 "0.02715"
"73" "GO:0009964" "negative regulation of flavonoid biosynt..." 1 1 0.08 "0.02715"
"74" "GO:0009740" "gibberellic acid mediated signaling path..." 36 5 2.72 "0.02873"
"75" "GO:0071456" "cellular response to hypoxia" 65 5 4.9 "0.03124"
"76" "GO:0001666" "response to hypoxia" 76 7 5.73 "0.03349"
"77" "GO:0045492" "xylan biosynthetic process" 17 3 1.28 "0.03413"
"78" "GO:0010492" "maintenance of shoot apical meristem ide..." 11 2 0.83 "0.03435"
"79" "GO:0009556" "microsporogenesis" 11 2 0.83 "0.03435"
"80" "GO:0008152" "metabolic process" 2962 168 223.42 "0.03651"
"81" "GO:0006952" "defense response" 415 27 31.3 "0.03681"
"82" "GO:0010431" "seed maturation" 36 4 2.72 "0.04008"
"83" "GO:0009638" "phototropism" 12 2 0.91 "0.04050"
"84" "GO:0006970" "response to osmotic stress" 179 9 13.5 "0.04209"
"85" "GO:0005982" "starch metabolic process" 24 3 1.81 "0.04677"
"86" "GO:0010197" "polar nucleus fusion" 13 2 0.98 "0.04702"
"87" "GO:0009737" "response to abscisic acid" 207 10 15.61 "0.05126"
"88" "GO:0009639" "response to red or far red light" 107 9 8.07 "0.05241"
"89" "GO:2000030" "regulation of response to red or far red..." 24 3 1.81 "0.05325"
"90" "GO:0071806" "protein transmembrane transport" 30 3 2.26 "0.05329"
"91" "GO:0010037" "response to carbon dioxide" 6 2 0.45 "0.05337"
"92" "GO:0033673" "negative regulation of kinase activity" 11 2 0.83 "0.05340"
"93" "GO:0010362" "negative regulation of anion channel act..." 2 1 0.15 "0.05357"
"94" "GO:0010325" "raffinose family oligosaccharide biosynt..." 2 1 0.15 "0.05357"
"95" "GO:0006883" "cellular sodium ion homeostasis" 2 1 0.15 "0.05357"
"96" "GO:0010306" "rhamnogalacturonan II biosynthetic proce..." 2 1 0.15 "0.05357"
"97" "GO:1901959" "positive regulation of cutin biosyntheti..." 2 1 0.15 "0.05357"
"98" "GO:0090610" "bundle sheath cell fate specification" 2 1 0.15 "0.05357"
"99" "GO:0006596" "polyamine biosynthetic process" 2 1 0.15 "0.05357"
"100" "GO:0019509" "L-methionine salvage from methylthioaden..." 2 1 0.15 "0.05357"
"101" "GO:0010438" "cellular response to sulfur starvation" 2 1 0.15 "0.05357"
"102" "GO:0035280" "miRNA loading onto RISC involved in gene..." 2 1 0.15 "0.05357"
"103" "GO:0009558" "embryo sac cellularization" 2 1 0.15 "0.05357"
"104" "GO:0048268" "clathrin coat assembly" 2 1 0.15 "0.05357"
"105" "GO:0048016" "inositol phosphate-mediated signaling" 2 1 0.15 "0.05357"
"106" "GO:0010188" "response to microbial phytotoxin" 2 1 0.15 "0.05357"
"107" "GO:0051457" "maintenance of protein location in nucle..." 2 1 0.15 "0.05357"
"108" "GO:0050992" "dimethylallyl diphosphate biosynthetic p..." 2 1 0.15 "0.05357"
"109" "GO:0006168" "adenine salvage" 2 1 0.15 "0.05357"
"110" "GO:0080040" "positive regulation of cellular response..." 2 1 0.15 "0.05357"
"111" "GO:0010236" "plastoquinone biosynthetic process" 2 1 0.15 "0.05357"
"112" "GO:0042450" "arginine biosynthetic process via ornith..." 2 1 0.15 "0.05357"
"113" "GO:0034090" "maintenance of meiotic sister chromatid ..." 2 1 0.15 "0.05357"
"114" "GO:0035524" "proline transmembrane transport" 2 1 0.15 "0.05357"
"115" "GO:0071461" "cellular response to redox state" 2 1 0.15 "0.05357"
"116" "GO:0035445" "borate transmembrane transport" 2 1 0.15 "0.05357"
"117" "GO:0006734" "NADH metabolic process" 2 1 0.15 "0.05357"
"118" "GO:0010584" "pollen exine formation" 14 2 1.06 "0.05390"
"119" "GO:0018108" "peptidyl-tyrosine phosphorylation" 14 2 1.06 "0.05390"
"120" "GO:0009690" "cytokinin metabolic process" 14 2 1.06 "0.05390"
"121" "GO:0010103" "stomatal complex morphogenesis" 14 2 1.06 "0.05390"
"122" "GO:0006749" "glutathione metabolic process" 14 2 1.06 "0.05390"
"123" "GO:0010015" "root morphogenesis" 112 7 8.45 "0.06002"
"124" "GO:0010286" "heat acclimation" 15 2 1.13 "0.06110"
"125" "GO:0009585" "red, far-red light phototransduction" 34 3 2.56 "0.06382"
"126" "GO:0009909" "regulation of flower development" 80 6 6.03 "0.07194"
"127" "GO:0006807" "nitrogen compound metabolic process" 2220 115 167.45 "0.07379"
"128" "GO:0016310" "phosphorylation" 348 34 26.25 "0.07491"
"129" "GO:0009742" "brassinosteroid mediated signaling pathw..." 37 3 2.79 "0.07819"
"130" "GO:0007165" "signal transduction" 524 38 39.52 "0.07851"
"131" "GO:0010608" "posttranscriptional regulation of gene e..." 84 5 6.34 "0.07868"
"132" "GO:0015908" "fatty acid transport" 4 2 0.3 "0.07895"
"133" "GO:0045839" "negative regulation of mitotic nuclear d..." 8 2 0.6 "0.07899"
"134" "GO:0009902" "chloroplast relocation" 11 2 0.83 "0.07901"
"135" "GO:0009240" "isopentenyl diphosphate biosynthetic pro..." 11 2 0.83 "0.07901"
"136" "GO:0009943" "adaxial/abaxial axis specification" 19 2 1.43 "0.07908"
"137" "GO:0010358" "leaf shaping" 3 1 0.23 "0.07927"
"138" "GO:0010599" "production of lsiRNA involved in RNA int..." 3 1 0.23 "0.07927"
"139" "GO:0008615" "pyridoxine biosynthetic process" 3 1 0.23 "0.07927"
"140" "GO:0030007" "cellular potassium ion homeostasis" 3 1 0.23 "0.07927"
"141" "GO:0010344" "seed oilbody biogenesis" 3 1 0.23 "0.07927"
"142" "GO:0033214" "iron assimilation by chelation and trans..." 3 1 0.23 "0.07927"
"143" "GO:0120009" "intermembrane lipid transfer" 3 1 0.23 "0.07927"
"144" "GO:0019563" "glycerol catabolic process" 3 1 0.23 "0.07927"
"145" "GO:0005986" "sucrose biosynthetic process" 3 1 0.23 "0.07927"
"146" "GO:1902389" "ceramide 1-phosphate transport" 3 1 0.23 "0.07927"
"147" "GO:0010450" "inflorescence meristem growth" 3 1 0.23 "0.07927"
"148" "GO:0000304" "response to singlet oxygen" 3 1 0.23 "0.07927"
"149" "GO:0060776" "simple leaf morphogenesis" 3 1 0.23 "0.07927"
"150" "GO:0010155" "regulation of proton transport" 3 1 0.23 "0.07927"
"151" "GO:0009410" "response to xenobiotic stimulus" 3 1 0.23 "0.07927"
"152" "GO:0016122" "xanthophyll metabolic process" 3 1 0.23 "0.07927"
"153" "GO:0006621" "protein retention in ER lumen" 3 1 0.23 "0.07927"
"154" "GO:0010268" "brassinosteroid homeostasis" 3 1 0.23 "0.07927"
"155" "GO:0006166" "purine ribonucleoside salvage" 3 1 0.23 "0.07927"
"156" "GO:0080028" "nitrile biosynthetic process" 3 1 0.23 "0.07927"
"157" "GO:0010031" "circumnutation" 3 1 0.23 "0.07927"
"158" "GO:2000122" "negative regulation of stomatal complex ..." 3 1 0.23 "0.07927"
"159" "GO:0044209" "AMP salvage" 3 1 0.23 "0.07927"
"160" "GO:0042659" "regulation of cell fate specification" 3 1 0.23 "0.07927"
"161" "GO:0090708" "specification of plant organ axis polari..." 3 1 0.23 "0.07927"
"162" "GO:1901601" "strigolactone biosynthetic process" 3 1 0.23 "0.07927"
"163" "GO:0034051" "negative regulation of plant-type hypers..." 3 1 0.23 "0.07927"
"164" "GO:0042138" "meiotic DNA double-strand break formatio..." 3 1 0.23 "0.07927"
"165" "GO:0048530" "fruit morphogenesis" 3 1 0.23 "0.07927"
"166" "GO:0060145" "viral gene silencing in virus induced ge..." 3 1 0.23 "0.07927"
"167" "GO:0043953" "protein transport by the Tat complex" 3 1 0.23 "0.07927"
"168" "GO:0010027" "thylakoid membrane organization" 18 2 1.36 "0.08447"
"169" "GO:0002229" "defense response to oomycetes" 18 2 1.36 "0.08447"
"170" "GO:0007275" "multicellular organism development" 1043 68 78.67 "0.09974"
"171" "GO:0008299" "isoprenoid biosynthetic process" 43 8 3.24 "0.10177"
"172" "GO:0019953" "sexual reproduction" 54 6 4.07 "0.10274"
"173" "GO:0006739" "NADP metabolic process" 9 2 0.68 "0.10391"
"174" "GO:0016125" "sterol metabolic process" 14 2 1.06 "0.10397"
"175" "GO:0010200" "response to chitin" 47 4 3.55 "0.10405"
"176" "GO:0010581" "regulation of starch biosynthetic proces..." 4 1 0.3 "0.10427"
"177" "GO:0010440" "stomatal lineage progression" 4 1 0.3 "0.10427"
"178" "GO:0071244" "cellular response to carbon dioxide" 4 1 0.3 "0.10427"
"179" "GO:0010196" "nonphotochemical quenching" 4 1 0.3 "0.10427"
"180" "GO:0008272" "sulfate transport" 4 1 0.3 "0.10427"
"181" "GO:0007188" "adenylate cyclase-modulating G protein-c..." 4 1 0.3 "0.10427"
"182" "GO:0006465" "signal peptide processing" 4 1 0.3 "0.10427"
"183" "GO:0070574" "cadmium ion transmembrane transport" 4 1 0.3 "0.10427"
"184" "GO:0080183" "response to photooxidative stress" 4 1 0.3 "0.10427"
"185" "GO:1902448" "positive regulation of shade avoidance" 4 1 0.3 "0.10427"
"186" "GO:0031222" "arabinan catabolic process" 4 1 0.3 "0.10427"
"187" "GO:0006646" "phosphatidylethanolamine biosynthetic pr..." 4 1 0.3 "0.10427"
"188" "GO:0080027" "response to herbivore" 4 1 0.3 "0.10427"
"189" "GO:0007231" "osmosensory signaling pathway" 4 1 0.3 "0.10427"
"190" "GO:0007205" "protein kinase C-activating G protein-co..." 4 1 0.3 "0.10427"
"191" "GO:0051085" "chaperone cofactor-dependent protein ref..." 4 1 0.3 "0.10427"
"192" "GO:0019761" "glucosinolate biosynthetic process" 4 1 0.3 "0.10427"
"193" "GO:0071329" "cellular response to sucrose stimulus" 4 1 0.3 "0.10427"
"194" "GO:0019762" "glucosinolate catabolic process" 4 1 0.3 "0.10427"
"195" "GO:0009750" "response to fructose" 4 1 0.3 "0.10427"
"196" "GO:0035435" "phosphate ion transmembrane transport" 4 1 0.3 "0.10427"
"197" "GO:0035436" "triose phosphate transmembrane transport" 4 1 0.3 "0.10427"
"198" "GO:0015770" "sucrose transport" 4 1 0.3 "0.10427"
"199" "GO:0071704" "organic substance metabolic process" 2713 154 204.64 "0.10747"
"200" "GO:0006417" "regulation of translation" 29 3 2.19 "0.10944"
"201" "GO:0010075" "regulation of meristem growth" 21 2 1.58 "0.11004"
"202" "GO:0006508" "proteolysis" 258 16 19.46 "0.11259"
"203" "GO:0050832" "defense response to fungus" 95 5 7.17 "0.11581"
"204" "GO:0048509" "regulation of meristem development" 51 6 3.85 "0.12668"
"205" "GO:0000160" "phosphorelay signal transduction system" 81 5 6.11 "0.12681"
"206" "GO:0009933" "meristem structural organization" 29 3 2.19 "0.12733"
"207" "GO:0010119" "regulation of stomatal movement" 34 3 2.56 "0.12745"
"208" "GO:0006641" "triglyceride metabolic process" 13 3 0.98 "0.12769"
"209" "GO:0009409" "response to cold" 133 8 10.03 "0.12802"
"210" "GO:0009911" "positive regulation of flower developmen..." 23 2 1.73 "0.12806"
"211" "GO:0015995" "chlorophyll biosynthetic process" 23 2 1.73 "0.12806"
"212" "GO:0048658" "anther wall tapetum development" 8 2 0.6 "0.12814"
"213" "GO:0055088" "lipid homeostasis" 8 2 0.6 "0.12814"
"214" "GO:0061077" "chaperone-mediated protein folding" 9 2 0.68 "0.12815"
"215" "GO:0007062" "sister chromatid cohesion" 13 2 0.98 "0.12820"
"216" "GO:0047484" "regulation of response to osmotic stress" 22 2 1.66 "0.12833"
"217" "GO:0015977" "carbon fixation" 5 1 0.38 "0.12860"
"218" "GO:0009938" "negative regulation of gibberellic acid ..." 5 1 0.38 "0.12860"
"219" "GO:0009939" "positive regulation of gibberellic acid ..." 5 1 0.38 "0.12860"
"220" "GO:0009904" "chloroplast accumulation movement" 5 1 0.38 "0.12860"
"221" "GO:0006833" "water transport" 5 1 0.38 "0.12860"
"222" "GO:0110102" "chloroplast ribulose bisphosphate carbox..." 5 1 0.38 "0.12860"
"223" "GO:0042823" "pyridoxal phosphate biosynthetic process" 5 1 0.38 "0.12860"
"224" "GO:0010158" "abaxial cell fate specification" 5 1 0.38 "0.12860"
"225" "GO:0007094" "mitotic spindle assembly checkpoint" 5 1 0.38 "0.12860"
"226" "GO:0080092" "regulation of pollen tube growth" 5 1 0.38 "0.12860"
"227" "GO:0016132" "brassinosteroid biosynthetic process" 5 1 0.38 "0.12860"
"228" "GO:0010050" "vegetative phase change" 5 1 0.38 "0.12860"
"229" "GO:0009407" "toxin catabolic process" 5 1 0.38 "0.12860"
"230" "GO:0000162" "tryptophan biosynthetic process" 5 1 0.38 "0.12860"
"231" "GO:1902183" "regulation of shoot apical meristem deve..." 5 1 0.38 "0.12860"
"232" "GO:0048766" "root hair initiation" 5 1 0.38 "0.12860"
"233" "GO:0009299" "mRNA transcription" 5 1 0.38 "0.12860"
"234" "GO:0071323" "cellular response to chitin" 5 1 0.38 "0.12860"
"235" "GO:0042128" "nitrate assimilation" 5 1 0.38 "0.12860"
"236" "GO:0002221" "pattern recognition receptor signaling p..." 5 1 0.38 "0.12860"
"237" "GO:0009772" "photosynthetic electron transport in pho..." 5 1 0.38 "0.12860"
"238" "GO:0042026" "protein refolding" 5 1 0.38 "0.12860"
"239" "GO:0009630" "gravitropism" 31 3 2.34 "0.13656"
"240" "GO:0010114" "response to red light" 24 2 1.81 "0.13732"
"241" "GO:0006357" "regulation of transcription by RNA polym..." 168 7 12.67 "0.13932"
"242" "GO:0009744" "response to sucrose" 29 3 2.19 "0.14584"
"243" "GO:0009658" "chloroplast organization" 87 6 6.56 "0.14855"
"244" "GO:0010208" "pollen wall assembly" 20 3 1.51 "0.15131"
"245" "GO:0048444" "floral organ morphogenesis" 22 3 1.66 "0.15134"
"246" "GO:0055075" "potassium ion homeostasis" 9 2 0.68 "0.15173"
"247" "GO:0048467" "gynoecium development" 31 2 2.34 "0.15208"
"248" "GO:0015713" "phosphoglycerate transmembrane transport" 6 1 0.45 "0.15227"
"249" "GO:0006890" "retrograde vesicle-mediated transport, G..." 6 1 0.45 "0.15227"
"250" "GO:0009934" "regulation of meristem structural organi..." 6 1 0.45 "0.15227"
"251" "GO:0010375" "stomatal complex patterning" 6 1 0.45 "0.15227"
"252" "GO:0015918" "sterol transport" 6 1 0.45 "0.15227"
"253" "GO:0010540" "basipetal auxin transport" 6 1 0.45 "0.15227"
"254" "GO:0015860" "purine nucleoside transmembrane transpor..." 6 1 0.45 "0.15227"
"255" "GO:0042761" "very long-chain fatty acid biosynthetic ..." 6 1 0.45 "0.15227"
"256" "GO:0042753" "positive regulation of circadian rhythm" 6 1 0.45 "0.15227"
"257" "GO:0010417" "glucuronoxylan biosynthetic process" 6 1 0.45 "0.15227"
"258" "GO:0009554" "megasporogenesis" 6 1 0.45 "0.15227"
"259" "GO:0010165" "response to X-ray" 6 1 0.45 "0.15227"
"260" "GO:0010100" "negative regulation of photomorphogenesi..." 6 1 0.45 "0.15227"
"261" "GO:0009625" "response to insect" 6 1 0.45 "0.15227"
"262" "GO:0009231" "riboflavin biosynthetic process" 6 1 0.45 "0.15227"
"263" "GO:0048587" "regulation of short-day photoperiodism, ..." 6 1 0.45 "0.15227"
"264" "GO:0030104" "water homeostasis" 6 1 0.45 "0.15227"
"265" "GO:1901001" "negative regulation of response to salt ..." 6 1 0.45 "0.15227"
"266" "GO:0048825" "cotyledon development" 26 2 1.96 "0.15624"
"267" "GO:0005975" "carbohydrate metabolic process" 323 24 24.36 "0.15910"
"268" "GO:0009607" "response to biotic stimulus" 347 25 26.17 "0.16489"
"269" "GO:0009611" "response to wounding" 63 4 4.75 "0.16590"
"270" "GO:0018215" "protein phosphopantetheinylation" 52 3 3.92 "0.16691"
"271" "GO:0048511" "rhythmic process" 68 6 5.13 "0.17303"
"272" "GO:0008283" "cell proliferation" 38 3 2.87 "0.17452"
"273" "GO:0051302" "regulation of cell division" 36 3 2.72 "0.17472"
"274" "GO:0009116" "nucleoside metabolic process" 27 2 2.04 "0.17500"
"275" "GO:0006900" "vesicle budding from membrane" 7 1 0.53 "0.17531"
"276" "GO:0005987" "sucrose catabolic process" 7 1 0.53 "0.17531"
"277" "GO:0071219" "cellular response to molecule of bacteri..." 7 1 0.53 "0.17531"
"278" "GO:0043486" "histone exchange" 7 1 0.53 "0.17531"
"279" "GO:0009686" "gibberellin biosynthetic process" 7 1 0.53 "0.17531"
"280" "GO:0055069" "zinc ion homeostasis" 7 1 0.53 "0.17531"
"281" "GO:0072583" "clathrin-dependent endocytosis" 7 1 0.53 "0.17531"
"282" "GO:0010233" "phloem transport" 7 1 0.53 "0.17531"
"283" "GO:0009959" "negative gravitropism" 7 1 0.53 "0.17531"
"284" "GO:0009733" "response to auxin" 143 9 10.79 "0.18152"
"285" "GO:0016036" "cellular response to phosphate starvatio..." 31 3 2.34 "0.18431"
"286" "GO:0099402" "plant organ development" 427 27 32.21 "0.18613"
"287" "GO:0048438" "floral whorl development" 72 5 5.43 "0.19600"
"288" "GO:0045824" "negative regulation of innate immune res..." 11 2 0.83 "0.19703"
"289" "GO:0040034" "regulation of development, heterochronic" 24 2 1.81 "0.19729"
"290" "GO:0015743" "malate transport" 8 1 0.6 "0.19771"
"291" "GO:0009903" "chloroplast avoidance movement" 8 1 0.6 "0.19771"
"292" "GO:0010452" "histone H3-K36 methylation" 8 1 0.6 "0.19771"
"293" "GO:0017148" "negative regulation of translation" 8 1 0.6 "0.19771"
"294" "GO:0010267" "production of ta-siRNAs involved in RNA ..." 8 1 0.6 "0.19771"
"295" "GO:1904823" "purine nucleobase transmembrane transpor..." 8 1 0.6 "0.19771"
"296" "GO:2000067" "regulation of root morphogenesis" 8 1 0.6 "0.19771"
"297" "GO:0032436" "positive regulation of proteasomal ubiqu..." 8 1 0.6 "0.19771"
"298" "GO:0051781" "positive regulation of cell division" 8 1 0.6 "0.19771"
"299" "GO:0035434" "copper ion transmembrane transport" 8 1 0.6 "0.19771"
"300" "GO:0045893" "positive regulation of transcription, DN..." 152 6 11.47 "0.19917"
"301" "GO:0009793" "embryo development ending in seed dorman..." 143 8 10.79 "0.20200"
"302" "GO:0009736" "cytokinin-activated signaling pathway" 31 2 2.34 "0.20531"
"303" "GO:0009845" "seed germination" 71 3 5.36 "0.20542"
"304" "GO:0009873" "ethylene-activated signaling pathway" 58 3 4.37 "0.20820"
"305" "GO:0045892" "negative regulation of transcription, DN..." 115 5 8.67 "0.21034"
"306" "GO:0009416" "response to light stimulus" 280 20 21.12 "0.21571"
"307" "GO:0048574" "long-day photoperiodism, flowering" 21 3 1.58 "0.21814"
"308" "GO:0045995" "regulation of embryonic development" 10 2 0.75 "0.21872"
"309" "GO:0016485" "protein processing" 13 2 0.98 "0.21878"
"310" "GO:0002758" "innate immune response-activating signal..." 14 2 1.06 "0.21881"
"311" "GO:0042023" "DNA endoreduplication" 19 2 1.43 "0.21892"
"312" "GO:0009850" "auxin metabolic process" 26 2 1.96 "0.21907"
"313" "GO:0015986" "ATP synthesis coupled proton transport" 9 1 0.68 "0.21952"
"314" "GO:0070734" "histone H3-K27 methylation" 9 1 0.68 "0.21952"
"315" "GO:0006878" "cellular copper ion homeostasis" 9 1 0.68 "0.21952"
"316" "GO:0018106" "peptidyl-histidine phosphorylation" 9 1 0.68 "0.21952"
"317" "GO:1900425" "negative regulation of defense response ..." 9 1 0.68 "0.21952"
"318" "GO:0008285" "negative regulation of cell proliferatio..." 9 1 0.68 "0.21952"
"319" "GO:0010152" "pollen maturation" 9 1 0.68 "0.21952"
"320" "GO:0006469" "negative regulation of protein kinase ac..." 9 1 0.68 "0.21952"
"321" "GO:0007178" "transmembrane receptor protein serine/th..." 9 1 0.68 "0.21952"
"322" "GO:0010093" "specification of floral organ identity" 9 1 0.68 "0.21952"
"323" "GO:0006284" "base-excision repair" 9 1 0.68 "0.21952"
"324" "GO:0050826" "response to freezing" 9 1 0.68 "0.21952"
"325" "GO:2000033" "regulation of seed dormancy process" 9 1 0.68 "0.21952"
"326" "GO:0006995" "cellular response to nitrogen starvation" 9 1 0.68 "0.21952"
"327" "GO:0009773" "photosynthetic electron transport in pho..." 9 1 0.68 "0.21952"
"328" "GO:0048367" "shoot system development" 410 32 30.93 "0.22181"
"329" "GO:0009642" "response to light intensity" 54 3 4.07 "0.22479"
"330" "GO:0050801" "ion homeostasis" 88 8 6.64 "0.23635"
"331" "GO:0051321" "meiotic cell cycle" 77 6 5.81 "0.23788"
"332" "GO:0090558" "plant epidermis development" 105 6 7.92 "0.23856"
"333" "GO:0006096" "glycolytic process" 11 2 0.83 "0.23986"
"334" "GO:0009641" "shade avoidance" 14 2 1.06 "0.23994"
"335" "GO:0055046" "microgametogenesis" 20 2 1.51 "0.24008"
"336" "GO:0052545" "callose localization" 10 1 0.75 "0.24073"
"337" "GO:0016126" "sterol biosynthetic process" 10 1 0.75 "0.24073"
"338" "GO:0048235" "pollen sperm cell differentiation" 10 1 0.75 "0.24073"
"339" "GO:0009649" "entrainment of circadian clock" 10 1 0.75 "0.24073"
"340" "GO:0010088" "phloem development" 10 1 0.75 "0.24073"
"341" "GO:0032875" "regulation of DNA endoreduplication" 10 1 0.75 "0.24073"
"342" "GO:0045454" "cell redox homeostasis" 10 1 0.75 "0.24073"
"343" "GO:0010207" "photosystem II assembly" 10 1 0.75 "0.24073"
"344" "GO:0055085" "transmembrane transport" 332 21 25.04 "0.24324"
"345" "GO:0000209" "protein polyubiquitination" 36 2 2.72 "0.25575"
"346" "GO:0009414" "response to water deprivation" 126 5 9.5 "0.25737"
"347" "GO:0048831" "regulation of shoot system development" 121 8 9.13 "0.25750"
"348" "GO:0031348" "negative regulation of defense response" 28 5 2.11 "0.25799"
"349" "GO:1990110" "callus formation" 11 1 0.83 "0.26137"
"350" "GO:0010582" "floral meristem determinacy" 11 1 0.83 "0.26137"
"351" "GO:0000373" "Group II intron splicing" 11 1 0.83 "0.26137"
"352" "GO:0009567" "double fertilization forming a zygote an..." 11 1 0.83 "0.26137"
"353" "GO:2000652" "regulation of secondary cell wall biogen..." 11 1 0.83 "0.26137"
