HOG	OG	Gene Tree Parent Clade	lycopersicum	pepper
N0.HOG0000082	OG0000041	n0	Solyc07g066240.3.1	PHT64120.1, PHT24793.1, PHT77564.1, PHT77485.1, PHT57525.1, PHT77486.1, PHT77555.1, PHT77557.1, PHT77492.1, PHT77573.1, PHT77560.1, PHT77476.1, PHT77559.1, PHT77488.1, PHT57524.1, PHT47015.1, PHT77475.1, PHT93338.1, PHT77480.1, PHT77471.1, PHT77562.1, PHT77567.1, PHT77482.1, PHT77491.1, PHT77490.1, PHT77478.1, PHT77493.1, PHT77554.1, PHT77472.1, PHT77481.1, PHT77565.1, PHT77474.1, PHT77484.1, PHT77483.1, PHT77558.1, PHT77479.1, PHT77489.1, PHT77473.1, PHT77487.1, PHT77556.1, PHT77563.1, PHT77477.1, PHT77561.1, PHT77566.1
N0.HOG0000083	OG0000042	n0	Solyc04g016080.2.1	PHT80548.1, PHT33275.1, PHT80551.1, PHT60910.1, PHT60875.1, PHT80663.1, PHT57553.1, PHT25092.1, PHT75577.1, PHT80601.1, PHT75671.1, PHT61174.1, PHT75672.1, PHT80549.1, PHT25139.1, PHT49299.1, PHT77610.1, PHT80664.1, PHT51495.1, PHT60911.1, PHT57551.1, PHT57496.1, PHT80665.1, PHT67540.1, PHT47003.1, PHT67541.1, PHT67538.1, PHT60909.1, PHT47024.1, PHT60986.1, PHT75670.1, PHT60988.1, PHT47010.1, PHT80550.1, PHT57497.1, PHT42123.1, PHT60987.1, PHT67542.1, PHT33269.1, PHT67539.1, PHT57550.1, PHT60912.1
N0.HOG0000084	OG0000043	n1	Solyc08g013970.3.1	PHT95927.1, PHT95930.1, PHT83449.1, PHT64538.1
N0.HOG0000085	OG0000043	n6		PHT82019.1, PHT95919.1, PHT95977.1, PHT95788.1, PHT95922.1
N0.HOG0000086	OG0000043	n14	Solyc06g048910.2.1	PHT96181.1, PHT95924.1, PHT83453.1, PHT96172.1, PHT95820.1, PHT95822.1, PHT95925.1, PHT61712.1, PHT96184.1, PHT83446.1, PHT95980.1, PHT95790.1, PHT61710.1, PHT96171.1, PHT96182.1
N0.HOG0000087	OG0000043	n29	Solyc08g007250.3.1	PHT95765.1, PHT96183.1, PHT96175.1, PHT83445.1, PHT95821.1, PHT96178.1, PHT95926.1, PHT83448.1, PHT95979.1, PHT75702.1, PHT61713.1, PHT95931.1, PHT83451.1
N0.HOG0000088	OG0000044	n0		PHT93965.1, PHT62766.1, PHT80666.1, PHT78294.1, PHT67372.1, PHT83522.1, PHT63422.1, PHT70935.1, PHT92339.1, PHT90349.1, PHT71958.1, PHT74622.1, PHT79321.1, PHT70204.1, PHT87022.1, PHT71215.1, PHT92728.1, PHT90415.1, PHT87175.1, PHT81360.1, PHT80987.1, PHT71393.1, PHT71749.1, PHT84185.1, PHT82838.1, PHT73074.1, PHT68550.1, PHT64825.1, PHT86534.1, PHT89736.1, PHT65471.1, PHT73504.1, PHT88223.1, PHT60884.1, PHT63545.1, PHT94426.1, PHT80940.1, PHT94679.1, PHT72033.1, PHT67371.1, PHT86779.1, PHT76483.1
N0.HOG0000089	OG0000045	n1	Solyc01g066120.3.1, Solyc01g066115.1.1, Solyc01g049790.1.1, Solyc01g066090.3.1, Solyc01g066110.2.1, Solyc01g066150.1.1	PHT75626.1
N0.HOG0000090	OG0000045	n38	Solyc01g066130.1.1, Solyc02g068210.1.1	PHT85025.1
N0.HOG0000091	OG0000045	n9	Solyc01g066080.3.1, Solyc01g066145.1.1, Solyc05g021070.2.1, Solyc01g049760.1.1	
N0.HOG0000092	OG0000045	n13	Solyc12g098600.1.1, Solyc09g092480.1.1, Solyc07g008230.1.1, Solyc09g092500.1.1, Solyc12g098590.3.1, Solyc05g053820.3.1, Solyc12g098580.1.1, Solyc04g082860.3.1, Solyc12g096830.2.1, Solyc12g096820.1.1, Solyc08g062220.3.1, Solyc06g007650.2.1, Solyc08g006410.4.1, Solyc08g006350.3.1, Solyc08g006330.3.1, Solyc05g006150.1.1, Solyc05g006140.1.1, Solyc08g006360.3.1, Solyc12g096870.1.1, Solyc08g014050.2.1, Solyc01g107560.3.1	PHT64548.1
N0.HOG0000093	OG0000045	n34	Solyc09g092490.3.1, Solyc01g066140.2.1, Solyc03g058370.2.1, Solyc01g066100.2.1	PHT82268.1
N0.HOG0000094	OG0000046	n0	Solyc11g066510.3.1, Solyc01g088630.3.1, Solyc07g007440.1.1, Solyc05g018310.1.1, Solyc12g007320.1.1, Solyc08g005110.1.1, Solyc08g076800.4.1, Solyc03g112340.1.1, Solyc04g074820.3.1, Solyc12g087860.3.1, Solyc03g005490.4.1, Solyc09g089890.1.1, Solyc06g053640.1.1, Solyc09g066300.3.1, Solyc01g091770.4.1, Solyc08g076830.1.1, Solyc06g061250.3.1, Solyc01g081040.4.1, Solyc11g010330.3.1, Solyc04g014220.1.1, Solyc12g087840.1.1, Solyc04g074790.3.1, Solyc01g105610.1.1, Solyc01g105620.4.1, Solyc11g073170.1.1, Solyc01g109200.4.1, Solyc05g005790.4.1, Solyc02g067680.1.1, Solyc02g087040.1.1, Solyc03g114090.1.1, Solyc07g006360.1.1, Solyc06g051250.1.1, Solyc06g150136.1.1, Solyc10g008080.3.1, Solyc07g053420.4.1, Solyc06g063110.3.1, Solyc03g123680.1.1, Solyc12g055710.1.1, Solyc09g075320.1.1, Solyc01g066430.3.1, Solyc06g007230.2.1	
N0.HOG0000095	OG0000047	n0	Solyc03g093620.1.1, Solyc05g013010.3.1, Solyc05g012955.1.1, Solyc05g012950.3.1, Solyc05g013000.3.1, Solyc04g028380.1.1, Solyc04g028410.1.1, Solyc04g028400.3.1, Solyc04g028390.1.1, Solyc11g067343.1.1, Solyc11g067320.1.1, Solyc03g114800.1.1, Solyc02g077620.1.1, Solyc11g040020.3.1, Solyc11g039805.1.1, Solyc10g019210.1.1, Solyc11g050900.2.1, Solyc10g019200.3.1, Solyc05g011860.1.1, Solyc12g021150.1.1, Solyc05g047470.1.1, Solyc05g011900.1.1, Solyc09g055500.1.1, Solyc05g011890.1.1, Solyc03g006043.1.1, Solyc03g006047.1.1, Solyc05g011870.1.1, Solyc05g047485.1.1, Solyc05g047510.3.1, Solyc11g027800.1.1, Solyc11g051090.1.1, Solyc11g050930.1.1, Solyc09g057883.1.1, Solyc05g011887.1.1, Solyc05g011910.3.1, Solyc10g019230.2.1, Solyc12g021140.1.1, Solyc05g011850.1.1, Solyc10g019220.1.1, Solyc11g050960.1.1	PHT86599.1
N0.HOG0000096	OG0000048	n0	Solyc00g500395.1.1, Solyc12g082793.1.1, Solyc08g016798.1.1, Solyc08g016790.1.1, Solyc01g034217.1.1, Solyc00g500374.1.1, Solyc01g038236.1.1, Solyc01g038233.1.1, Solyc01g038234.1.1, Solyc06g150106.1.1, Solyc00g500289.1.1, Solyc00g500407.1.1, Solyc06g016680.1.1, Solyc12g082760.1.1, Solyc12g082763.1.1, Solyc00g500013.1.1, Solyc00g500177.1.1, Solyc02g005550.1.1, Solyc06g016725.1.1, Solyc00g005280.1.1, Solyc00g014290.1.1, Solyc12g082780.1.1, Solyc00g500398.1.1, Solyc00g500011.1.1, Solyc00g500006.1.1, Solyc00g500408.1.1, Solyc00g500014.1.1, Solyc00g500264.1.1, Solyc00g500018.1.1, Solyc00g500305.1.1, Solyc01g038231.1.1, Solyc12g082797.1.1, Solyc00g500159.1.1, Solyc03g046592.1.1, Solyc12g026380.2.1, Solyc12g082765.1.1, Solyc12g082798.1.1, Solyc12g026370.2.1, Solyc06g016685.1.1, Solyc06g011662.1.1	
N0.HOG0000097	OG0000049	n0	Solyc09g066030.2.1, Solyc09g060130.1.1, Solyc09g060140.3.1, Solyc08g062503.1.1, Solyc09g060170.1.1, Solyc09g066070.4.1, Solyc09g057540.2.1, Solyc08g062520.2.1, Solyc11g022420.3.1, Solyc10g018020.3.1, Solyc09g059100.2.1, Solyc09g057530.2.1, Solyc07g037910.3.1, Solyc11g022410.1.1, Solyc07g150129.1.1, Solyc07g026570.1.1, Solyc04g025740.2.1, Solyc04g026150.2.1, Solyc08g062530.4.1, Solyc09g058993.1.1, Solyc09g060160.2.1, Solyc09g060175.1.1, Solyc09g066060.3.1, Solyc09g057550.1.1, Solyc04g025500.3.1, Solyc11g022430.3.1, Solyc09g060150.3.1, Solyc09g058997.1.1, Solyc08g062507.1.1, Solyc05g015030.3.1, Solyc11g011940.3.1, Solyc09g066050.2.1, Solyc10g018000.1.1, Solyc10g018030.3.1, Solyc04g025480.3.1, Solyc04g025490.1.1, Solyc07g037920.3.1, Solyc07g026560.3.1	PHT64640.1
N0.HOG0000098	OG0000050	n0		PHT79749.1, PHT79766.1, PHT68198.1, PHT79757.1, PHT79764.1, PHT72668.1, PHT79767.1, PHT79744.1, PHT79753.1, PHT79779.1, PHT79746.1, PHT79747.1, PHT79775.1, PHT79798.1, PHT79773.1, PHT79771.1, PHT79741.1, PHT79752.1, PHT79782.1, PHT79760.1, PHT79784.1, PHT79761.1, PHT79756.1, PHT79763.1, PHT79770.1, PHT79748.1, PHT79778.1, PHT79738.1, PHT79795.1, PHT79739.1, PHT79758.1, PHT79786.1, PHT79793.1, PHT87916.1, PHT79792.1, PHT79785.1, PHT79765.1, PHT79783.1, PHT79797.1
N0.HOG0000099	OG0000051	n0	Solyc04g007540.3.1, Solyc03g118970.3.1, Solyc03g026230.1.1, Solyc06g035710.1.1, Solyc08g080310.2.1, Solyc09g018070.1.1, Solyc04g076950.3.1, Solyc02g090740.3.1, Solyc11g016970.2.1, Solyc01g066560.3.1, Solyc08g079730.2.1, Solyc06g060530.1.1, Solyc08g008540.1.1, Solyc09g037170.3.1, Solyc05g032730.1.1, Solyc03g118960.3.1, Solyc07g007490.2.1, Solyc07g007480.2.1, Solyc04g009790.4.1, Solyc07g006730.4.1, Solyc07g006740.3.1, Solyc03g112260.2.1, Solyc03g112250.1.1, Solyc10g007370.2.1, Solyc10g007380.1.1, Solyc10g007100.3.1, Solyc10g007077.1.1, Solyc10g007360.4.1, Solyc02g091070.3.1, Solyc02g091080.2.1, Solyc03g034400.3.1, Solyc02g091050.3.1, Solyc02g063270.4.1, Solyc02g063260.4.1, Solyc05g008510.3.1, Solyc05g008500.3.1, Solyc04g007530.3.1	
N0.HOG0000100	OG0000052	n0	Solyc05g010345.1.1	PHT67440.1, PHT79655.1, PHT78478.1, PHT67588.1, PHT67546.1, PHT67545.1, PHT72074.1, PHT67579.1, PHT72146.1, PHT67589.1, PHT67583.1, PHT67544.1, PHT64761.1, PHT64757.1, PHT67446.1, PHT67442.1, PHT67444.1, PHT67438.1, PHT67443.1, PHT67441.1, PHT62275.1, PHT62279.1, PHT62282.1, PHT72810.1, PHT65423.1, PHT67436.1, PHT88985.1, PHT78881.1, PHT67445.1, PHT64759.1, PHT64762.1, PHT78197.1, PHT86327.1, PHT76853.1, PHT64758.1, PHT64760.1
N0.HOG0000101	OG0000053	n1	Solyc10g084150.2.1	PHT70941.1
N0.HOG0000102	OG0000053	n2	Solyc09g007830.3.1	PHT64672.1, PHT65732.1, PHT73833.1, PHT68866.1, PHT90590.1, PHT83792.1, PHT84409.1, PHT66321.1, PHT24458.1, PHT65714.1, PHT87238.1, PHT72694.1, PHT84902.1, PHT84934.1, PHT92993.1, PHT87211.1, PHT68346.1, PHT81202.1, PHT77954.1, PHT61950.1, PHT87311.1, PHT86823.1, PHT80136.1, PHT72209.1, PHT73629.1, PHT83886.1, PHT88505.1, PHT78273.1, PHT67767.1, PHT82006.1, PHT78873.1, PHT78368.1, PHT79520.1, PHT71837.1
N0.HOG0000103	OG0000054	n0	Solyc09g092060.3.1	PHT74695.1, PHT85329.1, PHT85305.1, PHT71910.1, PHT70678.1, PHT85280.1, PHT44341.1, PHT61312.1, PHT61315.1, PHT85306.1, PHT85258.1, PHT85327.1, PHT85255.1, PHT85325.1, PHT85521.1, PHT61251.1, PHT62773.1, PHT85241.1, PHT92995.1, PHT85257.1, PHT61313.1, PHT85324.1, PHT61427.1, PHT85260.1, PHT85328.1, PHT85256.1, PHT85326.1, PHT61430.1, PHT61130.1, PHT85835.1, PHT61131.1, PHT85281.1, PHT85254.1, PHT61270.1, PHT85264.1, PHT37377.1
N0.HOG0000104	OG0000055	n0		PHT73588.1, PHT47019.1, PHT44333.1, PHT73590.1, PHT35365.1, PHT25233.1, PHT73593.1, PHT24774.1, PHT73589.1, PHT94481.1, PHT44336.1, PHT73594.1, PHT24409.1, PHT71918.1, PHT73587.1, PHT73578.1, PHT73579.1, PHT71917.1, PHT73591.1, PHT73585.1, PHT49317.1, PHT83169.1, PHT94480.1, PHT73107.1, PHT24481.1, PHT60922.1, PHT71919.1, PHT73586.1, PHT60862.1, PHT73592.1, PHT73595.1, PHT71920.1, PHT57515.1, PHT83167.1, PHT83168.1, PHT83697.1, PHT60923.1
N0.HOG0000105	OG0000056	n0	Solyc06g050600.4.1	PHT90183.1, PHT76317.1, PHT74183.1, PHT89798.1, PHT82725.1, PHT61753.1, PHT76786.1, PHT80949.1, PHT94893.1, PHT82390.1, PHT78676.1, PHT89324.1, PHT89323.1, PHT83248.1, PHT88879.1, PHT78675.1, PHT63023.1, PHT93325.1, PHT95299.1, PHT78127.1, PHT87163.1, PHT74307.1, PHT92871.1, PHT91427.1, PHT92452.1, PHT80948.1, PHT86500.1, PHT61754.1, PHT95316.1, PHT72793.1, PHT94488.1, PHT64093.1, PHT74306.1, PHT86539.1, PHT81555.1
N0.HOG0000106	OG0000057	n0		PHT51490.1, PHT76198.1, PHT76133.1, PHT62838.1, PHT78186.1, PHT90005.1, PHT92991.1, PHT67354.1, PHT87031.1, PHT74255.1, PHT70653.1, PHT69868.1, PHT86298.1, PHT76134.1, PHT89542.1, PHT95719.1, PHT65339.1, PHT65636.1, PHT95084.1, PHT89230.1, PHT95037.1, PHT79774.1, PHT87101.1, PHT83762.1, PHT83365.1, PHT66142.1, PHT73156.1, PHT70780.1, PHT87318.1, PHT85936.1, PHT86849.1, PHT89454.1, PHT93989.1, PHT35361.1, PHT94375.1, PHT75871.1
N0.HOG0000107	OG0000058	n0	Solyc03g078690.4.1, Solyc02g088750.2.1, Solyc02g066960.3.1, Solyc12g006430.3.1, Solyc12g019990.1.1, Solyc10g085260.1.1, Solyc04g074350.3.1, Solyc04g074360.3.1, Solyc04g074390.3.1, Solyc04g074380.4.1, Solyc12g057060.2.1, Solyc12g057070.2.1, Solyc12g057080.2.1, Solyc04g074330.3.1, Solyc04g074340.3.1, Solyc03g078490.4.1, Solyc03g078500.3.1, Solyc01g105360.3.1, Solyc01g105350.3.1, Solyc03g078810.4.1, Solyc03g078780.3.1, Solyc10g085280.1.1, Solyc10g084890.3.1, Solyc10g085230.2.1, Solyc10g085240.1.1, Solyc06g076550.4.1, Solyc05g052870.4.1, Solyc02g091350.4.1, Solyc02g091370.2.1, Solyc03g083650.4.1, Solyc03g078720.4.1, Solyc03g078800.2.1, Solyc03g078770.3.1, Solyc03g078730.3.1, Solyc03g078710.3.1	
N0.HOG0000108	OG0000059	n1	Solyc04g081660.3.1	PHT70442.1
N0.HOG0000109	OG0000059	n3		PHT72689.1, PHT71145.1, PHT79479.1
N0.HOG0000110	OG0000059	n6		PHT75845.1, PHT66056.1, PHT78216.1, PHT78457.1, PHT90524.1, PHT72959.1
N0.HOG0000111	OG0000059	n12		PHT62296.1, PHT93389.1
N0.HOG0000112	OG0000059	n14		PHT86393.1, PHT74313.1, PHT74598.1, PHT86585.1
N0.HOG0000113	OG0000059	n19	Solyc04g082430.3.1	PHT85042.1
N0.HOG0000114	OG0000059	n20	Solyc04g081650.3.1	PHT89532.1, PHT70614.1, PHT71144.1, PHT95024.1, PHT74287.1, PHT94279.1, PHT79478.1, PHT65764.1, PHT83179.1, PHT89448.1, PHT94990.1, PHT82089.1, PHT67875.1, PHT66038.1
N0.HOG0000115	OG0000060	n0		PHT68337.1, PHT74388.1, PHT72964.1, PHT83933.1, PHT68538.1, PHT64295.1, PHT72418.1, PHT75546.1, PHT74471.1, PHT75979.1, PHT83742.1, PHT86739.1, PHT95756.1, PHT70125.1, PHT89306.1, PHT81393.1, PHT66536.1, PHT93205.1, PHT67834.1, PHT76305.1, PHT72197.1, PHT67729.1, PHT76307.1, PHT68224.1, PHT74071.1, PHT81740.1, PHT68340.1, PHT75637.1, PHT94219.1, PHT72703.1, PHT66089.1, PHT74472.1, PHT81282.1, PHT95543.1, PHT61361.1
N0.HOG0000116	OG0000061	n0	Solyc08g080745.2.1, Solyc01g005550.3.1, Solyc01g081570.3.1, Solyc03g112620.4.1, Solyc06g071590.3.1, Solyc05g005010.3.1, Solyc04g050490.4.1, Solyc11g070090.1.1, Solyc11g070080.1.1, Solyc04g058060.3.1, Solyc04g058030.3.1, Solyc04g051170.1.1, Solyc09g098480.1.1, Solyc07g061715.1.1, Solyc08g080700.3.1, Solyc08g080710.3.1, Solyc09g098470.3.1, Solyc07g056704.1.1, Solyc07g056325.1.1, Solyc07g056701.1.1, Solyc07g056706.1.1, Solyc07g056705.1.1, Solyc07g056708.1.1, Solyc07g150150.1.1, Solyc07g061710.2.1, Solyc07g056690.2.1, Solyc07g056610.2.1, Solyc08g080820.1.1, Solyc08g080810.3.1, Solyc08g080800.1.1, Solyc08g080790.1.1, Solyc08g074870.3.1, Solyc08g081020.1.1, Solyc08g080840.1.1	
N0.HOG0000117	OG0000062	n1	Solyc06g083290.1.1	PHT80298.1
N0.HOG0000118	OG0000062	n2	Solyc02g066890.2.1, Solyc02g066900.3.1, Solyc02g030620.1.1, Solyc02g030630.2.1, Solyc02g032690.1.1, Solyc02g030650.1.1, Solyc02g032670.1.1, Solyc02g032720.3.1, Solyc02g066850.1.1, Solyc02g032140.3.1, Solyc02g030637.1.1, Solyc02g066857.1.1, Solyc02g032680.2.1, Solyc02g066905.1.1, Solyc02g030633.1.1, Solyc02g150115.1.1, Solyc02g066855.1.1, Solyc02g030625.1.1, Solyc02g030610.3.1, Solyc02g032695.1.1, Solyc01g058740.2.1, Solyc02g033020.1.1, Solyc02g032730.1.1, Solyc01g059780.1.1, Solyc01g059740.1.1, Solyc02g030565.1.1, Solyc02g066840.2.1, Solyc02g030600.2.1, Solyc02g066880.2.1, Solyc02g030640.2.1	PHT89525.1, PHT89524.1
N0.HOG0000119	OG0000063	n0	Solyc08g076910.3.1	PHT92983.1, PHT69778.1, PHT61018.1, PHT61172.1, PHT61199.1, PHT61980.1, PHT63773.1, PHT61743.1, PHT61978.1, PHT61118.1, PHT85396.1, PHT85390.1, PHT96140.1, PHT61747.1, PHT61017.1, PHT96141.1, PHT61749.1, PHT61201.1, PHT61977.1, PHT61744.1, PHT61117.1, PHT96139.1, PHT61200.1, PHT61748.1, PHT61746.1, PHT61750.1, PHT60803.1, PHT61745.1, PHT61979.1, PHT96143.1, PHT60890.1, PHT85636.1, PHT96138.1
N0.HOG0000120	OG0000064	n1	Solyc06g072880.2.1	PHT74053.1
N0.HOG0000121	OG0000064	n4	Solyc09g008510.1.1, Solyc10g083860.3.1	
N0.HOG0000122	OG0000064	n7	Solyc12g042600.2.1, Solyc12g042620.1.1, Solyc10g085880.1.1, Solyc10g085870.1.1	
N0.HOG0000123	OG0000064	n27	Solyc05g053890.3.1, Solyc01g006670.2.1, Solyc05g010710.3.1, Solyc05g010685.1.1, Solyc12g096080.2.1	PHT70639.1
N0.HOG0000124	OG0000064	n22	Solyc01g107825.1.1, Solyc01g107820.2.1, Solyc01g107810.2.1, Solyc01g107850.4.1	PHT62636.1, PHT62632.1
N0.HOG0000125	OG0000064	n13	Solyc01g107780.4.1	PHT65718.1
N0.HOG0000126	OG0000064	n15	Solyc12g088700.1.1, Solyc12g088710.1.1, Solyc12g088690.2.1	PHT66418.1, PHT66405.1
N0.HOG0000127	OG0000064	n19	Solyc08g077080.1.1, Solyc07g043490.1.1, Solyc07g043410.1.1	PHT66406.1
N0.HOG0000128	OG0000065	n0	Solyc08g061340.1.1, Solyc08g077590.1.1, Solyc08g074710.1.1, Solyc01g049740.1.1, Solyc08g061350.1.1, Solyc08g077670.3.1, Solyc08g062070.1.1, Solyc08g077600.1.1, Solyc08g022040.1.1, Solyc03g061640.1.1, Solyc08g061360.1.1, Solyc08g077650.1.1, Solyc08g061390.3.1, Solyc08g077640.3.1, Solyc08g077690.3.1, Solyc01g060460.2.1, Solyc04g054440.3.1, Solyc01g068293.1.1, Solyc01g068297.1.1, Solyc01g068320.3.1, Solyc02g033050.3.1, Solyc08g077610.3.1, Solyc08g061410.3.1, Solyc08g062000.3.1, Solyc08g061990.1.1, Solyc08g062050.1.1, Solyc08g077570.3.1, Solyc01g068300.3.1, Solyc08g077580.2.1, Solyc08g077660.1.1, Solyc03g061630.1.1, Solyc08g061400.1.1	PHT92877.1
N0.HOG0000129	OG0000066	n1	Solyc10g079340.2.1	PHT71481.1, PHT61012.1
N0.HOG0000130	OG0000066	n3	Solyc10g079350.3.1, Solyc04g016200.1.1, Solyc10g079930.1.1, Solyc11g066680.1.1, Solyc11g066670.1.1, Solyc12g009930.3.1, Solyc12g009920.1.1, Solyc06g062330.3.1, Solyc06g062290.1.1, Solyc12g009910.1.1, Solyc12g009940.2.1, Solyc10g079950.2.1, Solyc10g079330.2.1, Solyc10g079320.3.1, Solyc10g079980.1.1, Solyc04g016190.1.1, Solyc07g006800.1.1, Solyc07g043480.1.1, Solyc07g043450.3.1, Solyc07g043440.1.1, Solyc05g012670.2.1, Solyc10g076720.2.1, Solyc06g005760.1.1, Solyc05g053120.1.1, Solyc05g053400.3.1, Solyc04g016230.4.1, Solyc04g008330.1.1, Solyc04g008310.3.1, Solyc04g016210.4.1	PHT81159.1
N0.HOG0000131	OG0000067	n0	Solyc05g054700.3.1	PHT72432.1, PHT62324.1, PHT62060.1, PHT62327.1, PHT62322.1, PHT62067.1, PHT62334.1, PHT72433.1, PHT62065.1, PHT62328.1, PHT62331.1, PHT72431.1, PHT62326.1, PHT62340.1, PHT72430.1, PHT62342.1, PHT62337.1, PHT62064.1, PHT62335.1, PHT60848.1, PHT62323.1, PHT62330.1, PHT62338.1, PHT62059.1, PHT82214.1, PHT62068.1, PHT62341.1, PHT62325.1, PHT62329.1, PHT62336.1, PHT62339.1
N0.HOG0000132	OG0000068	n0	Solyc08g062150.1.1	PHT73998.1, PHT75568.1, PHT93381.1, PHT75316.1, PHT73017.1, PHT76117.1, PHT68968.1, PHT85966.1, PHT66306.1, PHT66308.1, PHT26467.1, PHT94905.1, PHT60814.1, PHT69940.1, PHT74327.1, PHT95031.1, PHT74084.1, PHT94961.1, PHT72156.1, PHT68396.1, PHT72272.1, PHT65612.1, PHT70545.1, PHT87553.1, PHT67953.1, PHT67680.1, PHT88284.1, PHT75315.1, PHT76257.1, PHT93697.1, PHT81537.1
N0.HOG0000133	OG0000069	n1	Solyc02g081740.2.1, Solyc02g081750.1.1, Solyc02g081760.2.1	PHT90907.1
N0.HOG0000134	OG0000069	n4	Solyc02g081800.1.1, Solyc08g014490.1.1, Solyc05g039950.2.1, Solyc08g075210.2.1, Solyc08g075180.1.1, Solyc10g079570.3.1, Solyc07g043670.1.1, Solyc11g067330.1.1, Solyc11g067347.1.1, Solyc11g067340.1.1, Solyc11g067270.1.1, Solyc11g067290.1.1, Solyc07g043700.3.1, Solyc04g012020.1.1, Solyc07g043710.4.1, Solyc07g026890.1.1, Solyc04g009680.2.1, Solyc11g069680.1.1, Solyc04g009670.1.1, Solyc02g078510.4.1, Solyc01g008300.2.1, Solyc07g006680.1.1, Solyc07g006670.1.1, Solyc05g014330.1.1, Solyc04g082350.2.1, Solyc06g051320.3.1	PHT67966.1
N0.HOG0000135	OG0000070	n1	Solyc10g006050.3.1	PHT69561.1
N0.HOG0000136	OG0000070	n2	Solyc12g014600.2.1, Solyc07g048030.4.1, Solyc12g006180.2.1, Solyc11g012470.2.1, Solyc04g014820.4.1, Solyc09g072790.3.1, Solyc09g090520.3.1, Solyc03g005680.3.1, Solyc04g077520.3.1, Solyc03g121710.2.1, Solyc06g062740.2.1, Solyc06g062730.2.1, Solyc06g062720.2.1, Solyc12g035280.1.1, Solyc07g045240.3.1, Solyc02g093340.3.1, Solyc02g090910.3.1, Solyc11g044470.3.1, Solyc02g082270.3.1, Solyc04g082770.4.1, Solyc04g074310.4.1, Solyc04g049920.4.1, Solyc01g008970.4.1, Solyc10g081330.3.1, Solyc12g014210.3.1, Solyc02g021560.4.1, Solyc10g055360.1.1, Solyc12g035310.3.1	PHT24487.1
N0.HOG0000137	OG0000071	n1	Solyc08g074250.3.1	PHT63352.1, PHT71560.1, PHT71501.1, PHT71544.1, PHT60786.1, PHT71540.1, PHT71547.1, PHT73520.1, PHT73874.1, PHT60785.1, PHT71549.1
N0.HOG0000138	OG0000071	n13		PHT80780.1, PHT81200.1, PHT67802.1, PHT80827.1, PHT80782.1, PHT80777.1
N0.HOG0000139	OG0000071	n19		PHT80826.1, PHT80829.1, PHT67801.1, PHT67803.1, PHT80830.1
N0.HOG0000140	OG0000071	n24	Solyc01g017700.1.1	PHT81281.1, PHT87902.1, PHT72135.1
N0.HOG0000141	OG0000071	n27	Solyc02g032260.1.1, Solyc04g011890.1.1	PHT80929.1, PHT71539.1
N0.HOG0000142	OG0000072	n0	Solyc01g109320.4.1, Solyc01g109310.3.1, Solyc10g051130.3.1, Solyc05g013460.4.1, Solyc05g013470.4.1, Solyc05g013450.4.1, Solyc07g008410.4.1, Solyc12g019320.2.1, Solyc12g019335.1.1, Solyc12g019330.3.1, Solyc02g032660.3.1, Solyc02g080490.3.1, Solyc02g080480.3.1, Solyc12g005850.2.1, Solyc07g052380.3.1, Solyc12g006360.3.1, Solyc03g025240.3.1, Solyc03g025230.3.1, Solyc03g025250.4.1, Solyc03g025200.3.1, Solyc03g025210.3.1, Solyc03g025220.3.1, Solyc06g036130.4.1, Solyc03g025190.4.1, Solyc08g005880.4.1, Solyc03g063730.4.1, Solyc10g080340.3.1, Solyc04g074840.3.1, Solyc04g074850.3.1, Solyc11g010380.2.1, Solyc04g074860.4.1	
N0.HOG0000143	OG0000073	n0	Solyc09g074630.3.1	PHT86274.1, PHT80532.1, PHT71117.1, PHT71143.1, PHT87962.1, PHT70615.1, PHT74288.1, PHT81760.1, PHT89788.1, PHT90523.1, PHT95023.1, PHT66055.1, PHT94968.1, PHT79477.1, PHT72914.1, PHT94280.1, PHT72958.1, PHT74312.1, PHT75846.1, PHT72688.1, PHT86586.1, PHT62295.1, PHT94989.1, PHT94382.1, PHT74597.1, PHT66037.1, PHT74326.1, PHT70441.1, PHT78217.1, PHT78458.1
N0.HOG0000144	OG0000074	n0		PHT82974.1, PHT63039.1, PHT85216.1, PHT86127.1, PHT24686.1, PHT65792.1, PHT63272.1, PHT71998.1, PHT24871.1, PHT70126.1, PHT77010.1, PHT77308.1, PHT84588.1, PHT75563.1, PHT64202.1, PHT70811.1, PHT61960.1, PHT71147.1, PHT93503.1, PHT65206.1, PHT61151.1, PHT90834.1, PHT67587.1, PHT91792.1, PHT85262.1, PHT64367.1, PHT63617.1, PHT65275.1, PHT85665.1, PHT86128.1
N0.HOG0000145	OG0000075	n0		PHT63965.1, PHT82651.1, PHT91924.1, PHT77373.1, PHT77374.1, PHT92012.1, PHT90233.1, PHT90227.1, PHT93728.1, PHT90221.1, PHT64527.1, PHT84762.1, PHT61230.1, PHT61226.1, PHT61223.1, PHT82607.1, PHT61278.1, PHT64571.1, PHT64582.1, PHT95972.1, PHT64581.1, PHT95973.1, PHT82611.1, PHT72476.1, PHT90504.1, PHT90550.1, PHT90229.1, PHT90554.1, PHT90224.1, PHT82653.1
