"Orthogroup" "lycopersicum.faa" "pepper.faa" "ortho"
"37" "OG0007219" "Solyc01g005630.3.1" "PHT73973.1" "ortho_37"
"38" "OG0007220" "Solyc01g005650.3.1" "PHT73829.1" "ortho_38"
"39" "OG0007221" "Solyc01g005660.3.1" "PHT73830.1" "ortho_39"
"40" "OG0007222" "Solyc01g005690.3.1" "PHT73834.1" "ortho_40"
"41" "OG0007224" "Solyc01g005810.3.1" "PHT93808.1" "ortho_41"
"42" "OG0007225" "Solyc01g005840.3.1" "PHT93804.1" "ortho_42"
"43" "OG0007226" "Solyc01g005930.3.1" "PHT93797.1" "ortho_43"
"44" "OG0007227" "Solyc01g005940.4.1" "PHT93796.1" "ortho_44"
"45" "OG0007228" "Solyc01g005980.4.1" "PHT93791.1" "ortho_45"
"46" "OG0007229" "Solyc01g005985.1.1" "PHT93790.1" "ortho_46"
"47" "OG0007230" "Solyc01g006000.3.1" "PHT93789.1" "ortho_47"
"48" "OG0007231" "Solyc01g006010.3.1" "PHT93788.1" "ortho_48"
"49" "OG0007232" "Solyc01g006020.4.1" "PHT93787.1" "ortho_49"
"50" "OG0007233" "Solyc01g006130.4.1" "PHT93752.1" "ortho_50"
"51" "OG0007234" "Solyc01g006180.4.1" "PHT93758.1" "ortho_51"
"52" "OG0007235" "Solyc01g006210.4.1" "PHT93770.1" "ortho_52"
"53" "OG0007236" "Solyc01g006230.3.1" "PHT93776.1" "ortho_53"
"54" "OG0007237" "Solyc01g006240.3.1" "PHT93777.1" "ortho_54"
"55" "OG0007238" "Solyc01g006260.4.1" "PHT93729.1" "ortho_55"
"56" "OG0007239" "Solyc01g006330.4.1" "PHT93736.1" "ortho_56"
"57" "OG0007240" "Solyc01g006340.3.1" "PHT93737.1" "ortho_57"
"58" "OG0007241" "Solyc01g006360.4.1" "PHT93723.1" "ortho_58"
"59" "OG0007242" "Solyc01g006380.2.1" "PHT93726.1" "ortho_59"
"60" "OG0007243" "Solyc01g006440.2.1" "PHT93696.1" "ortho_60"
"61" "OG0007244" "Solyc01g006480.3.1" "PHT93657.1" "ortho_61"
"62" "OG0007245" "Solyc01g006500.4.1" "PHT93655.1" "ortho_62"
"63" "OG0007246" "Solyc01g006530.1.1" "PHT93652.1" "ortho_63"
"64" "OG0007247" "Solyc01g006630.3.1" "PHT93635.1" "ortho_64"
"65" "OG0007248" "Solyc01g006700.3.1" "PHT93619.1" "ortho_65"
"66" "OG0007249" "Solyc01g006720.4.1" "PHT93617.1" "ortho_66"
"67" "OG0007251" "Solyc01g006800.4.1" "PHT95447.1" "ortho_67"
"68" "OG0007252" "Solyc01g006830.3.1" "PHT95449.1" "ortho_68"
"69" "OG0007253" "Solyc01g006850.1.1" "PHT95466.1" "ortho_69"
"70" "OG0007254" "Solyc01g006860.3.1" "PHT95467.1" "ortho_70"
"71" "OG0007255" "Solyc01g006870.4.1" "PHT95469.1" "ortho_71"
"72" "OG0007256" "Solyc01g006880.4.1" "PHT95471.1" "ortho_72"
"73" "OG0007257" "Solyc01g006900.3.1" "PHT95476.1" "ortho_73"
"74" "OG0007258" "Solyc01g006930.3.1" "PHT95478.1" "ortho_74"
"75" "OG0007259" "Solyc01g006980.4.1" "PHT95482.1" "ortho_75"
"76" "OG0007260" "Solyc01g006990.4.1" "PHT95483.1" "ortho_76"
"77" "OG0007261" "Solyc01g007050.3.1" "PHT95485.1" "ortho_77"
"78" "OG0007262" "Solyc01g007060.3.1" "PHT95487.1" "ortho_78"
"79" "OG0007263" "Solyc01g007070.3.1" "PHT95488.1" "ortho_79"
"80" "OG0007264" "Solyc01g007080.3.1" "PHT95489.1" "ortho_80"
"81" "OG0007265" "Solyc01g007110.3.1" "PHT95499.1" "ortho_81"
"82" "OG0007266" "Solyc01g007120.3.1" "PHT95500.1" "ortho_82"
"83" "OG0007267" "Solyc01g007140.3.1" "PHT95502.1" "ortho_83"
"84" "OG0007268" "Solyc01g007160.4.1" "PHT93523.1" "ortho_84"
"85" "OG0007269" "Solyc01g007170.4.1" "PHT95505.1" "ortho_85"
"86" "OG0007270" "Solyc01g007230.4.1" "PHT95510.1" "ortho_86"
"87" "OG0007271" "Solyc01g007240.3.1" "PHT95511.1" "ortho_87"
"88" "OG0007272" "Solyc01g007260.3.1" "PHT95513.1" "ortho_88"
"89" "OG0007273" "Solyc01g007267.1.1" "PHT95514.1" "ortho_89"
"90" "OG0007274" "Solyc01g007750.3.1" "PHT95516.1" "ortho_90"
"91" "OG0007275" "Solyc01g007790.4.1" "PHT95519.1" "ortho_91"
"92" "OG0007276" "Solyc01g007810.1.1" "PHT95521.1" "ortho_92"
"93" "OG0007277" "Solyc01g007850.2.1" "PHT95526.1" "ortho_93"
"94" "OG0007279" "Solyc01g007880.4.1" "PHT73902.1" "ortho_94"
"95" "OG0007280" "Solyc01g007920.2.1" "PHT83387.1" "ortho_95"
"96" "OG0007281" "Solyc01g008010.3.1" "PHT73886.1" "ortho_96"
"97" "OG0007282" "Solyc01g008020.4.1" "PHT73887.1" "ortho_97"
"98" "OG0007283" "Solyc01g008040.1.1" "PHT73888.1" "ortho_98"
"99" "OG0007284" "Solyc01g008050.4.1" "PHT73889.1" "ortho_99"
"100" "OG0007285" "Solyc01g008070.3.1" "PHT73890.1" "ortho_100"
"101" "OG0007286" "Solyc01g008100.3.1" "PHT73891.1" "ortho_101"
"102" "OG0007287" "Solyc01g008110.4.1" "PHT73892.1" "ortho_102"
"103" "OG0007288" "Solyc01g008130.4.1" "PHT73894.1" "ortho_103"
"104" "OG0007289" "Solyc01g008140.4.1" "PHT73895.1" "ortho_104"
"105" "OG0007290" "Solyc01g008180.3.1" "PHT73899.1" "ortho_105"
"106" "OG0007291" "Solyc01g008190.4.1" "PHT73870.1" "ortho_106"
"107" "OG0007292" "Solyc01g008200.3.1" "PHT78250.1" "ortho_107"
"108" "OG0007293" "Solyc01g008240.4.1" "PHT73867.1" "ortho_108"
"109" "OG0007294" "Solyc01g008250.3.1" "PHT73866.1" "ortho_109"
"110" "OG0007295" "Solyc01g008260.4.1" "PHT73865.1" "ortho_110"
"111" "OG0007296" "Solyc01g008270.3.1" "PHT73864.1" "ortho_111"
"112" "OG0007297" "Solyc01g008280.4.1" "PHT73863.1" "ortho_112"
"113" "OG0007298" "Solyc01g008290.3.1" "PHT73862.1" "ortho_113"
"114" "OG0007299" "Solyc01g008310.4.1" "PHT73861.1" "ortho_114"
"115" "OG0007300" "Solyc01g008320.3.1" "PHT73859.1" "ortho_115"
"116" "OG0007301" "Solyc01g008330.4.1" "PHT73860.1" "ortho_116"
"117" "OG0007302" "Solyc01g008340.3.1" "PHT73858.1" "ortho_117"
"118" "OG0007303" "Solyc01g008370.3.1" "PHT73857.1" "ortho_118"
"119" "OG0007304" "Solyc01g008450.1.1" "PHT93906.1" "ortho_119"
"120" "OG0007305" "Solyc01g008480.4.1" "PHT93908.1" "ortho_120"
"121" "OG0007306" "Solyc01g008490.4.1" "PHT93904.1" "ortho_121"
"122" "OG0007307" "Solyc01g008510.3.1" "PHT93900.1" "ortho_122"
"123" "OG0007308" "Solyc01g008520.3.1" "PHT93899.1" "ortho_123"
"124" "OG0007309" "Solyc01g008560.3.1" "PHT93893.1" "ortho_124"
"125" "OG0007310" "Solyc01g008580.1.1" "PHT93864.1" "ortho_125"
"126" "OG0007311" "Solyc01g008740.2.1" "PHT93882.1" "ortho_126"
"127" "OG0007313" "Solyc01g008780.3.1" "PHT93879.1" "ortho_127"
"128" "OG0007314" "Solyc01g008790.4.1" "PHT93877.1" "ortho_128"
"129" "OG0007316" "Solyc01g008890.4.1" "PHT93834.1" "ortho_129"
"130" "OG0007317" "Solyc01g008900.4.1" "PHT93833.1" "ortho_130"
"131" "OG0007318" "Solyc01g008920.4.1" "PHT93831.1" "ortho_131"
"132" "OG0007319" "Solyc01g008930.4.1" "PHT93830.1" "ortho_132"
"133" "OG0007320" "Solyc01g009010.3.1" "PHT93955.1" "ortho_133"
"134" "OG0007321" "Solyc01g009030.4.1" "PHT93938.1" "ortho_134"
"135" "OG0007322" "Solyc01g009040.4.1" "PHT93937.1" "ortho_135"
"136" "OG0007323" "Solyc01g009050.3.1" "PHT93935.1" "ortho_136"
"137" "OG0007324" "Solyc01g009070.3.1" "PHT93927.1" "ortho_137"
"138" "OG0007325" "Solyc01g009080.4.1" "PHT93940.1" "ortho_138"
"139" "OG0007326" "Solyc01g009120.3.1" "PHT83644.1" "ortho_139"
"140" "OG0007327" "Solyc01g009160.2.1" "PHT93963.1" "ortho_140"
"141" "OG0007328" "Solyc01g009170.4.1" "PHT93967.1" "ortho_141"
"142" "OG0007329" "Solyc01g009190.3.1" "PHT94001.1" "ortho_142"
"143" "OG0007330" "Solyc01g009220.3.1" "PHT94004.1" "ortho_143"
"144" "OG0007331" "Solyc01g009245.1.1" "PHT93968.1" "ortho_144"
"145" "OG0007332" "Solyc01g009300.3.1" "PHT93975.1" "ortho_145"
"146" "OG0007333" "Solyc01g009320.2.1" "PHT93980.1" "ortho_146"
"147" "OG0007334" "Solyc01g009330.1.1" "PHT93984.1" "ortho_147"
"148" "OG0007335" "Solyc01g009390.4.1" "PHT93998.1" "ortho_148"
"149" "OG0007336" "Solyc01g009430.3.1" "PHT94420.1" "ortho_149"
"150" "OG0007337" "Solyc01g009440.3.1" "PHT94417.1" "ortho_150"
"151" "OG0007338" "Solyc01g009480.4.1" "PHT94392.1" "ortho_151"
"152" "OG0007340" "Solyc01g009590.3.1" "PHT94379.1" "ortho_152"
"153" "OG0007341" "Solyc01g009610.3.1" "PHT94380.1" "ortho_153"
"154" "OG0007343" "Solyc01g009660.3.1" "PHT94385.1" "ortho_154"
"155" "OG0007344" "Solyc01g009720.2.1" "PHT94442.1" "ortho_155"
"156" "OG0007345" "Solyc01g009750.3.1" "PHT94429.1" "ortho_156"
"157" "OG0007346" "Solyc01g009760.3.1" "PHT94430.1" "ortho_157"
"158" "OG0007347" "Solyc01g009770.3.1" "PHT94431.1" "ortho_158"
"159" "OG0007348" "Solyc01g009780.3.1" "PHT94433.1" "ortho_159"
"160" "OG0007350" "Solyc01g009810.3.1" "PHT94438.1" "ortho_160"
"161" "OG0007351" "Solyc01g009820.4.1" "PHT94439.1" "ortho_161"
"162" "OG0007352" "Solyc01g009850.4.1" "PHT94440.1" "ortho_162"
"163" "OG0007353" "Solyc01g009860.3.1" "PHT94441.1" "ortho_163"
"164" "OG0007354" "Solyc01g009880.2.1" "PHT61626.1" "ortho_164"
"165" "OG0007355" "Solyc01g009890.1.1" "PHT94293.1" "ortho_165"
"166" "OG0007356" "Solyc01g009900.3.1" "PHT94294.1" "ortho_166"
"167" "OG0007357" "Solyc01g009920.3.1" "PHT94292.1" "ortho_167"
"168" "OG0007358" "Solyc01g009970.3.1" "PHT94291.1" "ortho_168"
"169" "OG0007359" "Solyc01g009990.3.1" "PHT94134.1" "ortho_169"
"170" "OG0007360" "Solyc01g010000.3.1" "PHT94133.1" "ortho_170"
"171" "OG0007361" "Solyc01g010030.3.1" "PHT94282.1" "ortho_171"
"172" "OG0007362" "Solyc01g010130.4.1" "PHT94288.1" "ortho_172"
"173" "OG0007363" "Solyc01g010250.4.1" "PHT67640.1" "ortho_173"
"174" "OG0007364" "Solyc01g010270.3.1" "PHT94449.1" "ortho_174"
"175" "OG0007365" "Solyc01g010280.3.1" "PHT94445.1" "ortho_175"
"176" "OG0007366" "Solyc01g010310.4.1" "PHT94331.1" "ortho_176"
"177" "OG0007367" "Solyc01g010390.3.1" "PHT94338.1" "ortho_177"
"178" "OG0007368" "Solyc01g010410.3.1" "PHT94018.1" "ortho_178"
"179" "OG0007370" "Solyc01g010570.4.1" "PHT94037.1" "ortho_179"
"180" "OG0007371" "Solyc01g010590.2.1" "PHT94043.1" "ortho_180"
"181" "OG0007372" "Solyc01g010640.3.1" "PHT77025.1" "ortho_181"
"182" "OG0007373" "Solyc01g010700.3.1" "PHT94045.1" "ortho_182"
"183" "OG0007374" "Solyc01g010830.4.1" "PHT94034.1" "ortho_183"
"184" "OG0007375" "Solyc01g010860.3.1" "PHT94054.1" "ortho_184"
"185" "OG0007376" "Solyc01g010880.3.1" "PHT94060.1" "ortho_185"
"186" "OG0007377" "Solyc01g010890.4.1" "PHT94051.1" "ortho_186"
"187" "OG0007378" "Solyc01g010900.3.1" "PHT94052.1" "ortho_187"
"188" "OG0007379" "Solyc01g010910.2.1" "PHT94053.1" "ortho_188"
"189" "OG0007380" "Solyc01g010940.3.1" "PHT94031.1" "ortho_189"
"190" "OG0007381" "Solyc01g010970.3.1" "PHT94029.1" "ortho_190"
"191" "OG0007382" "Solyc01g010990.2.1" "PHT94027.1" "ortho_191"
"192" "OG0007383" "Solyc01g011040.3.1" "PHT71026.1" "ortho_192"
"193" "OG0007386" "Solyc01g011350.3.1" "PHT94328.1" "ortho_193"
"194" "OG0007387" "Solyc01g011490.1.1" "PHT94326.1" "ortho_194"
"195" "OG0007388" "Solyc01g011495.1.1" "PHT64086.1" "ortho_195"
"196" "OG0007390" "Solyc01g012720.1.1" "PHT81705.1" "ortho_196"
"197" "OG0007392" "Solyc01g014180.3.1" "PHT94080.1" "ortho_197"
"198" "OG0007393" "Solyc01g014490.4.1" "PHT94353.1" "ortho_198"
"199" "OG0007394" "Solyc01g014840.3.1" "PHT94356.1" "ortho_199"
"200" "OG0007395" "Solyc01g014850.4.1" "PHT94357.1" "ortho_200"
"201" "OG0007396" "Solyc01g015020.4.1" "PHT94078.1" "ortho_201"
"202" "OG0007399" "Solyc01g016380.4.1" "PHT94138.1" "ortho_202"
"203" "OG0007402" "Solyc01g016540.3.1" "PHT94368.1" "ortho_203"
"204" "OG0007407" "Solyc01g017320.1.1" "PHT72857.1" "ortho_204"
"205" "OG0007408" "Solyc01g017390.1.1" "PHT94086.1" "ortho_205"
"206" "OG0007410" "Solyc01g017600.3.1" "PHT93924.1" "ortho_206"
"207" "OG0007411" "Solyc01g017740.2.1" "PHT83320.1" "ortho_207"
"208" "OG0007414" "Solyc01g020240.4.1" "PHT73904.1" "ortho_208"
"209" "OG0007417" "Solyc01g150126.1.1" "PHT89283.1" "ortho_209"
"210" "OG0007420" "Solyc01g022750.3.1" "PHT92944.1" "ortho_210"
"211" "OG0007423" "Solyc01g034150.4.1" "PHT94068.1" "ortho_211"
"212" "OG0007425" "Solyc01g028900.3.1" "PHT94269.1" "ortho_212"
"213" "OG0007426" "Solyc01g028870.3.1" "PHT94119.1" "ortho_213"
"214" "OG0007428" "Solyc01g028830.3.1" "PHT94259.1" "ortho_214"
"215" "OG0007429" "Solyc01g028800.3.1" "PHT94256.1" "ortho_215"
"216" "OG0007430" "Solyc01g028803.1.1" "PHT76034.1" "ortho_216"
"217" "OG0007433" "Solyc01g049650.3.1" "PHT94308.1" "ortho_217"
"218" "OG0007434" "Solyc01g049810.4.1" "PHT90801.1" "ortho_218"
"219" "OG0007436" "Solyc01g049890.3.1" "PHT94311.1" "ortho_219"
"220" "OG0007437" "Solyc01g055160.1.1" "PHT89166.1" "ortho_220"
"221" "OG0007438" "Solyc01g056285.1.1" "PHT94022.1" "ortho_221"
"222" "OG0007439" "Solyc01g056340.4.1" "PHT94312.1" "ortho_222"
"223" "OG0007440" "Solyc01g056520.3.1" "PHT94124.1" "ortho_223"
"224" "OG0007441" "Solyc01g056570.3.1" "PHT93546.1" "ortho_224"
"225" "OG0007442" "Solyc01g056600.2.1" "PHT94021.1" "ortho_225"
"226" "OG0007443" "Solyc01g056620.4.1" "PHT94020.1" "ortho_226"
"227" "OG0007444" "Solyc01g056660.2.1" "PHT94281.1" "ortho_227"
"228" "OG0007445" "Solyc01g056690.4.1" "PHT94212.1" "ortho_228"
"229" "OG0007446" "Solyc01g056720.4.1" "PHT94024.1" "ortho_229"
"230" "OG0007447" "Solyc01g056780.3.1" "PHT94974.1" "ortho_230"
"231" "OG0007450" "Solyc01g057000.3.1" "PHT87619.1" "ortho_231"
"232" "OG0007451" "Solyc01g057090.4.1" "PHT94363.1" "ortho_232"
"233" "OG0007452" "Solyc01g057310.4.1" "PHT94171.1" "ortho_233"
"234" "OG0007454" "Solyc01g057520.4.1" "PHT94173.1" "ortho_234"
"235" "OG0007455" "Solyc01g057570.3.1" "PHT94121.1" "ortho_235"
"236" "OG0007457" "Solyc01g057770.3.1" "PHT93876.1" "ortho_236"
"237" "OG0007458" "Solyc01g057780.3.1" "PHT76252.1" "ortho_237"
"238" "OG0007459" "Solyc01g057850.4.1" "PHT94787.1" "ortho_238"
"239" "OG0007460" "Solyc01g057960.3.1" "PHT89893.1" "ortho_239"
"240" "OG0007462" "Solyc01g058160.3.1" "PHT94454.1" "ortho_240"
"241" "OG0007464" "Solyc01g058520.4.1" "PHT82666.1" "ortho_241"
"242" "OG0007465" "Solyc01g058670.3.1" "PHT94132.1" "ortho_242"
"243" "OG0007466" "Solyc01g058720.4.1" "PHT72138.1" "ortho_243"
"244" "OG0007467" "Solyc01g059830.3.1" "PHT94237.1" "ortho_244"
"245" "OG0007468" "Solyc01g059900.4.1" "PHT94243.1" "ortho_245"
"246" "OG0007469" "Solyc01g059920.4.1" "PHT94238.1" "ortho_246"
"247" "OG0007470" "Solyc01g059930.3.1" "PHT94239.1" "ortho_247"
"248" "OG0007471" "Solyc01g059940.2.1" "PHT94240.1" "ortho_248"
"249" "OG0007472" "Solyc01g060040.3.1" "PHT94213.1" "ortho_249"
"250" "OG0007474" "Solyc01g060080.4.1" "PHT94216.1" "ortho_250"
"251" "OG0007476" "Solyc01g060250.2.1" "PHT94226.1" "ortho_251"
"252" "OG0007477" "Solyc01g060260.4.1" "PHT94229.1" "ortho_252"
"253" "OG0007478" "Solyc01g060420.2.1" "PHT94140.1" "ortho_253"
"254" "OG0007479" "Solyc01g060450.3.1" "PHT86368.1" "ortho_254"
"255" "OG0007480" "Solyc01g065500.3.1" "PHT93859.1" "ortho_255"
"256" "OG0007481" "Solyc01g065530.3.1" "PHT94142.1" "ortho_256"
"257" "OG0007482" "Solyc01g065540.3.1" "PHT94143.1" "ortho_257"
"258" "OG0007483" "Solyc01g065560.4.1" "PHT94145.1" "ortho_258"
"259" "OG0007484" "Solyc01g065570.2.1" "PHT94147.1" "ortho_259"
"260" "OG0007485" "Solyc01g065640.3.1" "PHT94414.1" "ortho_260"
"261" "OG0007486" "Solyc01g065690.3.1" "PHT94153.1" "ortho_261"
"262" "OG0007487" "Solyc01g065710.3.1" "PHT94151.1" "ortho_262"
"263" "OG0007488" "Solyc01g065980.4.1" "PHT94156.1" "ortho_263"
"264" "OG0007489" "Solyc01g066050.3.1" "PHT94158.1" "ortho_264"
"265" "OG0007490" "Solyc01g066060.4.1" "PHT94169.1" "ortho_265"
"266" "OG0007491" "Solyc01g066070.3.1" "PHT94166.1" "ortho_266"
"267" "OG0007493" "Solyc01g066440.3.1" "PHT94175.1" "ortho_267"
"268" "OG0007494" "Solyc01g066450.3.1" "PHT94472.1" "ortho_268"
"269" "OG0007495" "Solyc01g066480.3.1" "PHT94470.1" "ortho_269"
"270" "OG0007496" "Solyc01g066510.3.1" "PHT94469.1" "ortho_270"
"271" "OG0007497" "Solyc01g066520.3.1" "PHT94456.1" "ortho_271"
"272" "OG0007498" "Solyc01g066570.3.1" "PHT94506.1" "ortho_272"
"273" "OG0007499" "Solyc01g066590.3.1" "PHT95120.1" "ortho_273"
"274" "OG0007500" "Solyc01g066610.4.1" "PHT94509.1" "ortho_274"
"275" "OG0007501" "Solyc01g066640.2.1" "PHT94476.1" "ortho_275"
"276" "OG0007502" "Solyc01g066680.3.1" "PHT94475.1" "ortho_276"
"277" "OG0007503" "Solyc01g066720.3.1" "PHT88966.1" "ortho_277"
"278" "OG0007504" "Solyc01g066740.3.1" "PHT94595.1" "ortho_278"
"279" "OG0007505" "Solyc01g066830.3.1" "PHT95116.1" "ortho_279"
"280" "OG0007506" "Solyc01g066840.3.1" "PHT95114.1" "ortho_280"
"281" "OG0007507" "Solyc01g066850.4.1" "PHT95113.1" "ortho_281"
"282" "OG0007508" "Solyc01g066860.3.1" "PHT95112.1" "ortho_282"
"283" "OG0007509" "Solyc01g066870.3.1" "PHT95111.1" "ortho_283"
"284" "OG0007510" "Solyc01g066880.3.1" "PHT95110.1" "ortho_284"
"285" "OG0007511" "Solyc01g066900.4.1" "PHT95108.1" "ortho_285"
"286" "OG0007512" "Solyc01g066910.3.1" "PHT95107.1" "ortho_286"
"287" "OG0007513" "Solyc01g066940.3.1" "PHT95106.1" "ortho_287"
"288" "OG0007514" "Solyc01g067000.4.1" "PHT95144.1" "ortho_288"
"289" "OG0007515" "Solyc01g067010.3.1" "PHT95087.1" "ortho_289"
"290" "OG0007516" "Solyc01g067020.4.1" "PHT95088.1" "ortho_290"
"291" "OG0007517" "Solyc01g067040.2.1" "PHT68754.1" "ortho_291"
"292" "OG0007518" "Solyc01g067080.3.1" "PHT95086.1" "ortho_292"
"293" "OG0007519" "Solyc01g067090.4.1" "PHT68753.1" "ortho_293"
"294" "OG0007520" "Solyc01g067290.3.1" "PHT95082.1" "ortho_294"
"295" "OG0007521" "Solyc01g067340.3.1" "PHT95080.1" "ortho_295"
"296" "OG0007522" "Solyc01g067370.3.1" "PHT95076.1" "ortho_296"
"297" "OG0007523" "Solyc01g067400.3.1" "PHT95070.1" "ortho_297"
"298" "OG0007524" "Solyc01g067440.4.1" "PHT95068.1" "ortho_298"
"299" "OG0007525" "Solyc01g067460.3.1" "PHT95066.1" "ortho_299"
"300" "OG0007526" "Solyc01g067480.4.1" "PHT95064.1" "ortho_300"
"301" "OG0007527" "Solyc01g067490.4.1" "PHT95059.1" "ortho_301"
"302" "OG0007528" "Solyc01g067500.3.1" "PHT95072.1" "ortho_302"
"303" "OG0007529" "Solyc01g067510.3.1" "PHT95073.1" "ortho_303"
"304" "OG0007530" "Solyc01g067530.3.1" "PHT95074.1" "ortho_304"
"305" "OG0007531" "Solyc01g067540.2.1" "PHT95062.1" "ortho_305"
"306" "OG0007532" "Solyc01g067580.4.1" "PHT95058.1" "ortho_306"
"307" "OG0007533" "Solyc01g067590.3.1" "PHT95057.1" "ortho_307"
"308" "OG0007534" "Solyc01g067620.3.1" "PHT95055.1" "ortho_308"
"309" "OG0007535" "Solyc01g067630.3.1" "PHT78741.1" "ortho_309"
"310" "OG0007536" "Solyc01g067640.3.1" "PHT95052.1" "ortho_310"
"311" "OG0007537" "Solyc01g067660.3.1" "PHT95049.1" "ortho_311"
"312" "OG0007538" "Solyc01g067680.3.1" "PHT95048.1" "ortho_312"
"313" "OG0007539" "Solyc01g067700.3.1" "PHT95047.1" "ortho_313"
"314" "OG0007540" "Solyc01g067710.3.1" "PHT95046.1" "ortho_314"
"315" "OG0007541" "Solyc01g067720.4.1" "PHT95045.1" "ortho_315"
"316" "OG0007542" "Solyc01g067750.3.1" "PHT95040.1" "ortho_316"
"317" "OG0007543" "Solyc01g067790.3.1" "PHT95036.1" "ortho_317"
"318" "OG0007544" "Solyc01g067800.3.1" "PHT95035.1" "ortho_318"
"319" "OG0007545" "Solyc01g067820.3.1" "PHT76660.1" "ortho_319"
"320" "OG0007546" "Solyc01g067830.3.1" "PHT95034.1" "ortho_320"
"321" "OG0007547" "Solyc01g067890.4.1" "PHT95029.1" "ortho_321"
"322" "OG0007548" "Solyc01g067900.3.1" "PHT95027.1" "ortho_322"
"323" "OG0007549" "Solyc01g067930.4.1" "PHT95025.1" "ortho_323"
"324" "OG0007550" "Solyc01g068050.3.1" "PHT94537.1" "ortho_324"
"325" "OG0007551" "Solyc01g068060.4.1" "PHT94538.1" "ortho_325"
"326" "OG0007552" "Solyc01g068080.4.1" "PHT94541.1" "ortho_326"
"327" "OG0007553" "Solyc01g068100.4.1" "PHT94542.1" "ortho_327"
"328" "OG0007554" "Solyc01g068130.4.1" "PHT94564.1" "ortho_328"
"329" "OG0007555" "Solyc01g068150.3.1" "PHT94565.1" "ortho_329"
"330" "OG0007556" "Solyc01g068180.3.1" "PHT94800.1" "ortho_330"
"331" "OG0007557" "Solyc01g068210.3.1" "PHT94798.1" "ortho_331"
"332" "OG0007558" "Solyc01g068260.4.1" "PHT94797.1" "ortho_332"
"333" "OG0007559" "Solyc01g068270.3.1" "PHT94795.1" "ortho_333"
"334" "OG0007560" "Solyc01g068280.3.1" "PHT94794.1" "ortho_334"
"335" "OG0007561" "Solyc01g068290.4.1" "PHT94792.1" "ortho_335"
"336" "OG0007562" "Solyc01g068340.3.1" "PHT94790.1" "ortho_336"
"337" "OG0007563" "Solyc01g068370.4.1" "PHT81876.1" "ortho_337"
"338" "OG0007564" "Solyc01g068390.3.1" "PHT94749.1" "ortho_338"
"339" "OG0007565" "Solyc01g068400.3.1" "PHT94753.1" "ortho_339"
