Orthogroup	lycopersicum	pepper
OG0018107	Solyc01g014270.3.1	
OG0018108	Solyc01g014275.1.1	
OG0018109	Solyc01g014310.2.1	
OG0018110	Solyc01g014315.1.1	
OG0018111	Solyc01g014350.1.1	
OG0018112	Solyc01g014355.1.1	
OG0018113	Solyc01g014360.1.1	
OG0018114	Solyc01g014367.1.1	
OG0018115	Solyc01g014390.3.1	
OG0018116	Solyc01g014470.1.1	
OG0018117	Solyc01g014620.1.1	
OG0018118	Solyc01g014730.2.1	
OG0018119	Solyc01g014740.1.1	
OG0018120	Solyc01g014745.1.1	
OG0018121	Solyc01g014760.1.1	
OG0018122	Solyc01g014860.3.1	
OG0018123	Solyc01g014990.3.1	
OG0018124	Solyc01g015130.1.1	
OG0018125	Solyc01g015230.3.1	
OG0018126	Solyc01g015250.1.1	
OG0018127	Solyc01g015280.1.1	
OG0018128	Solyc01g015297.1.1	
OG0018129	Solyc01g016355.1.1	
OG0018130	Solyc01g016390.4.1	
OG0018131	Solyc01g016400.1.1	
OG0018132	Solyc01g016430.1.1	
OG0018133	Solyc01g016460.4.1	
OG0018134	Solyc01g016470.3.1	
OG0018135	Solyc01g016510.1.1	
OG0018136	Solyc01g016530.1.1	
OG0018137	Solyc01g016550.2.1	
OG0018138	Solyc01g016560.1.1	
OG0018139	Solyc01g016605.1.1	
OG0018140	Solyc01g016630.1.1	
OG0018141	Solyc01g016670.2.1	
OG0018142	Solyc01g016700.3.1	
OG0018143	Solyc01g016720.2.1	
OG0018144	Solyc01g016770.1.1	
OG0018145	Solyc01g016790.1.1	
OG0018146	Solyc01g016830.1.1	
OG0018147	Solyc01g016850.2.1	
OG0018148	Solyc01g016890.1.1	
OG0018149	Solyc01g016910.1.1	
OG0018150	Solyc01g016960.1.1	
OG0018151	Solyc01g016970.2.1	
OG0018152	Solyc01g016980.1.1	
OG0018153	Solyc01g017020.1.1	
OG0018154	Solyc01g017040.1.1	
OG0018155	Solyc01g017080.2.1	
OG0018156	Solyc01g017085.1.1	
OG0018157	Solyc01g017130.1.1	
OG0018158	Solyc01g017140.1.1	
OG0018159	Solyc01g017220.2.1	
OG0018160	Solyc01g017240.1.1	
OG0018161	Solyc01g017280.1.1	
OG0018162	Solyc01g017290.1.1	
OG0018163	Solyc01g017300.2.1	
OG0018164	Solyc01g017330.3.1	
OG0018165	Solyc01g017360.3.1	
OG0018166	Solyc01g017430.1.1	
OG0018167	Solyc01g017440.1.1	
OG0018168	Solyc01g017450.1.1	
OG0018169	Solyc01g017520.1.1	
OG0018170	Solyc01g017530.1.1	
OG0018171	Solyc01g017640.3.1	
OG0018172	Solyc01g017670.2.1	
OG0018173	Solyc01g017690.1.1	
OG0018174	Solyc01g017720.2.1	
OG0018175	Solyc01g017750.1.1	
OG0018176	Solyc01g150122.1.1	
OG0018177	Solyc01g017795.1.1	
OG0018178	Solyc01g017860.3.1	
OG0018179	Solyc01g017870.2.1	
OG0018180	Solyc01g017950.3.1	
OG0018181	Solyc01g017960.1.1	
OG0018182	Solyc01g017970.1.1	
OG0018183	Solyc01g018010.2.1	
OG0018184	Solyc01g018100.1.1	
OG0018185	Solyc01g019100.1.1	
OG0018186	Solyc01g020100.3.1	
OG0018187	Solyc01g020280.2.1	
OG0018188	Solyc01g150124.1.1	
OG0018189	Solyc01g020300.4.1	
OG0018190	Solyc01g020320.3.1	
OG0018191	Solyc01g020347.1.1	
OG0018192	Solyc01g020350.1.1	
OG0018193	Solyc01g020360.1.1	
OG0018194	Solyc01g020370.2.1	
OG0018195	Solyc01g150125.1.1	
OG0018196	Solyc01g020470.3.1	
OG0018197	Solyc01g020495.1.1	
OG0018198	Solyc01g020500.2.1	
OG0018199	Solyc01g020521.1.1	
OG0018200	Solyc01g021640.3.1	
OG0018201	Solyc01g021695.1.1	
OG0018202	Solyc01g021720.1.1	
OG0018203	Solyc01g022780.1.1	
OG0018204	Solyc01g033990.1.1	
OG0018205	Solyc01g034213.1.1	
OG0018206	Solyc01g028960.1.1	
OG0018207	Solyc01g044300.3.1	
OG0018208	Solyc01g044340.3.1	
OG0018209	Solyc01g044350.3.1	
OG0018210	Solyc01g044370.3.1	
OG0018211	Solyc01g044375.1.1	
OG0018212	Solyc01g044500.1.1	
OG0018213	Solyc01g044520.2.1	
OG0018214	Solyc01g049720.1.1	
OG0018215	Solyc01g049750.1.1	
OG0018216	Solyc01g049770.3.1	
OG0018217	Solyc01g049820.2.1	
OG0018218	Solyc01g049830.2.1	
OG0018219	Solyc01g049840.1.1	
OG0018220	Solyc01g049920.2.1	
OG0018221	Solyc01g150131.1.1	
OG0018222	Solyc01g049960.4.1	
OG0018223	Solyc01g050045.1.1	
OG0018224	Solyc01g050070.4.1	
OG0018225	Solyc01g050050.1.1	
OG0018226	Solyc01g055200.1.1	
OG0018227	Solyc01g056240.1.1	
OG0018228	Solyc01g056260.1.1	
OG0018229	Solyc01g056290.2.1	
OG0018230	Solyc01g056320.1.1	
OG0018231	Solyc01g056360.4.1	
OG0018232	Solyc01g056370.3.1	
OG0018233	Solyc01g056470.1.1	
OG0018234	Solyc01g056480.3.1	
OG0018235	Solyc01g150132.1.1	
OG0018236	Solyc01g056610.1.1	
OG0018237	Solyc01g056640.1.1	
OG0018238	Solyc01g056653.1.1	
OG0018239	Solyc01g150133.1.1	
OG0018240	Solyc01g056657.1.1	
OG0018241	Solyc01g056665.1.1	
OG0018242	Solyc01g056695.1.1	
OG0018243	Solyc01g056730.3.1	
OG0018244	Solyc01g056770.1.1	
OG0018245	Solyc01g056800.1.1	
OG0018246	Solyc01g056830.3.1	
OG0018247	Solyc01g150134.1.1	
OG0018248	Solyc01g056970.1.1	
OG0018249	Solyc01g056990.3.1	
OG0018250	Solyc01g057003.1.1	
OG0018251	Solyc01g057060.1.1	
OG0018252	Solyc01g057080.1.1	
OG0018253	Solyc01g057110.1.1	
OG0018254	Solyc01g057120.2.1	
OG0018255	Solyc01g057130.1.1	
OG0018256	Solyc01g057140.1.1	
OG0018257	Solyc01g057150.1.1	
OG0018258	Solyc01g057160.1.1	
OG0018259	Solyc01g057165.1.1	
OG0018260	Solyc01g057180.2.1	
OG0018261	Solyc01g057320.3.1	
OG0018262	Solyc01g057340.3.1	
OG0018263	Solyc01g057395.1.1	
OG0018264	Solyc01g057410.1.1	
OG0018265	Solyc01g057420.1.1	
OG0018266	Solyc01g057440.3.1	
OG0018267	Solyc01g057470.1.1	
OG0018268	Solyc01g057527.1.1	
OG0018269	Solyc01g057530.1.1	
OG0018270	Solyc01g150136.1.1	
OG0018271	Solyc01g057600.3.1	
OG0018272	Solyc01g057610.1.1	
OG0018273	Solyc01g057640.1.1	
OG0018274	Solyc01g057670.1.1	
OG0018275	Solyc01g057675.1.1	
OG0018276	Solyc01g057680.4.1	
OG0018277	Solyc01g057785.1.1	
OG0018278	Solyc01g057840.3.1	
OG0018279	Solyc01g057920.1.1	
OG0018280	Solyc01g057990.1.1	
OG0018281	Solyc01g058030.2.1	
OG0018282	Solyc01g058050.1.1	
OG0018283	Solyc01g058100.2.1	
OG0018284	Solyc01g058170.4.1	
OG0018285	Solyc01g058200.3.1	
OG0018286	Solyc01g058220.3.1	
OG0018287	Solyc01g058240.1.1	
OG0018288	Solyc01g058320.4.1	
OG0018289	Solyc01g058350.1.1	
OG0018290	Solyc01g058385.1.1	
OG0018291	Solyc01g058470.1.1	
OG0018292	Solyc01g058530.4.1	
OG0018293	Solyc01g058535.1.1	
OG0018294	Solyc01g058597.1.1	
OG0018295	Solyc01g058660.1.1	
OG0018296	Solyc01g058665.1.1	
OG0018297	Solyc01g058673.1.1	
OG0018298	Solyc01g058677.1.1	
OG0018299	Solyc01g059765.1.1	
OG0018300	Solyc01g059800.1.1	
OG0018301	Solyc01g059810.1.1	
OG0018302	Solyc01g059820.1.1	
OG0018303	Solyc01g059850.3.1	
OG0018304	Solyc01g060015.1.1	
OG0018305	Solyc01g060055.1.1	
OG0018306	Solyc01g060057.1.1	
OG0018307	Solyc01g060100.2.1	
OG0018308	Solyc01g060140.4.1	
OG0018309	Solyc01g060187.1.1	
OG0018310	Solyc01g060240.4.1	
OG0018311	Solyc01g060350.1.1	
OG0018312	Solyc01g060375.1.1	
OG0018313	Solyc01g060390.1.1	
OG0018314	Solyc01g060395.1.1	
OG0018315	Solyc01g060430.1.1	
OG0018316	Solyc01g060490.4.1	
OG0018317	Solyc01g065510.3.1	
OG0018318	Solyc01g065680.2.1	
OG0018319	Solyc01g065725.1.1	
OG0018320	Solyc01g065750.2.1	
OG0018321	Solyc01g065903.1.1	
OG0018322	Solyc01g065907.1.1	
OG0018323	Solyc01g065960.2.1	
OG0018324	Solyc01g065970.1.1	
OG0018325	Solyc01g066293.1.1	
OG0018326	Solyc01g066340.4.1	
OG0018327	Solyc01g066380.4.1	
OG0018328	Solyc01g066455.1.1	
OG0018329	Solyc01g066490.2.1	
OG0018330	Solyc01g066630.1.1	
OG0018331	Solyc01g066660.1.1	
OG0018332	Solyc01g066670.1.1	
OG0018333	Solyc01g066710.4.1	
OG0018334	Solyc01g066730.4.1	
OG0018335	Solyc01g066750.1.1	
OG0018336	Solyc01g066760.2.1	
OG0018337	Solyc01g066790.1.1	
OG0018338	Solyc01g066800.1.1	
OG0018339	Solyc01g066895.1.1	
OG0018340	Solyc01g066950.1.1	
OG0018341	Solyc01g066980.3.1	
OG0018342	Solyc01g066990.1.1	
OG0018343	Solyc01g067005.1.1	
OG0018344	Solyc01g067130.4.1	
OG0018345	Solyc01g067177.1.1	
OG0018346	Solyc01g067220.1.1	
OG0018347	Solyc01g067280.3.1	
OG0018348	Solyc01g067443.1.1	
OG0018349	Solyc01g067445.1.1	
OG0018350	Solyc01g067650.2.1	
OG0018351	Solyc01g067690.4.1	
OG0018352	Solyc01g067760.1.1	
OG0018353	Solyc01g067840.2.1	
OG0018354	Solyc01g067895.1.1	
OG0018355	Solyc01g067910.3.1	
OG0018356	Solyc01g067940.2.1	
OG0018357	Solyc01g068070.4.1	
OG0018358	Solyc01g068075.1.1	
OG0018359	Solyc01g068110.2.1	
OG0018360	Solyc01g068120.4.1	
OG0018361	Solyc01g068170.3.1	
OG0018362	Solyc01g068190.3.1	
OG0018363	Solyc01g068305.1.1	
OG0018364	Solyc01g068350.3.1	
OG0018365	Solyc01g068360.4.1	
OG0018366	Solyc01g068430.3.1	
OG0018367	Solyc01g068435.1.1	
OG0018368	Solyc01g068590.4.1	
OG0018369	Solyc01g079110.4.1	
OG0018370	Solyc01g079115.1.1	
OG0018371	Solyc01g079120.3.1	
OG0018372	Solyc01g079140.2.1	
OG0018373	Solyc01g079190.2.1	
OG0018374	Solyc01g079280.1.1	
OG0018375	Solyc01g079285.1.1	
OG0018376	Solyc01g079440.1.1	
OG0018377	Solyc01g079470.4.1	
OG0018378	Solyc01g079535.1.1	
OG0018379	Solyc01g079630.3.1	
OG0018380	Solyc01g079670.2.1	
OG0018381	Solyc01g079700.3.1	
OG0018382	Solyc01g079830.3.1	
OG0018383	Solyc01g079855.1.1	
OG0018384	Solyc01g079930.3.1	
OG0018385	Solyc01g080070.4.1	
OG0018386	Solyc01g080100.3.1	
OG0018387	Solyc01g080320.3.1	
OG0018388	Solyc01g080330.4.1	
OG0018389	Solyc01g080370.3.1	
OG0018390	Solyc01g080420.1.1	
OG0018391	Solyc01g080440.2.1	
OG0018392	Solyc01g080600.4.1	
OG0018393	Solyc01g080630.1.1	
OG0018394	Solyc01g080820.1.1	
OG0018395	Solyc01g080890.2.1	
OG0018396	Solyc01g080980.2.1	
OG0018397	Solyc01g081037.1.1	
OG0018398	Solyc01g081160.4.1	
OG0018399	Solyc01g081230.2.1	
OG0018400	Solyc01g081360.1.1	
OG0018401	Solyc01g081420.3.1	
OG0018402	Solyc01g073700.3.1	
OG0018403	Solyc01g073800.2.1	
OG0018404	Solyc01g073840.1.1	
OG0018405	Solyc01g073905.1.1	
OG0018406	Solyc01g073910.4.1	
OG0018407	Solyc01g074000.3.1	
OG0018408	Solyc01g074060.1.1	
OG0018409	Solyc01g086660.2.1	
OG0018410	Solyc01g086670.3.1	
OG0018411	Solyc01g086770.1.1	
OG0018412	Solyc01g086815.1.1	
OG0018413	Solyc01g086820.4.1	
OG0018414	Solyc01g086900.4.1	
OG0018415	Solyc01g086950.4.1	
OG0018416	Solyc01g086975.1.1	
OG0018417	Solyc01g087000.3.1	
OG0018418	Solyc01g087020.2.1	
OG0018419	Solyc01g087075.1.1	
OG0018420	Solyc01g087090.3.1	
OG0018421	Solyc01g087140.4.1	
OG0018422	Solyc01g087160.2.1	
OG0018423	Solyc01g087270.3.1	
OG0018424	Solyc01g087350.3.1	
OG0018425	Solyc01g087360.3.1	
OG0018426	Solyc01g087440.3.1	
OG0018427	Solyc01g087525.1.1	
OG0018428	Solyc01g087630.2.1	
OG0018429	Solyc01g087700.1.1	
OG0018430	Solyc01g087760.2.1	
OG0018431	Solyc01g087860.2.1	
OG0018432	Solyc01g087880.3.1	
OG0018433	Solyc01g088013.1.1	
OG0018434	Solyc01g088040.3.1	
OG0018435	Solyc01g088140.3.1	
OG0018436	Solyc01g088180.2.1	
OG0018437	Solyc01g088290.2.1	
OG0018438	Solyc01g088340.2.1	
OG0018439	Solyc01g088395.1.1	
OG0018440	Solyc01g088410.3.1	
OG0018441	Solyc01g088460.3.1	
OG0018442	Solyc01g088520.3.1	
OG0018443	Solyc01g088575.1.1	
OG0018444	Solyc01g088635.1.1	
OG0018445	Solyc01g088680.3.1	
OG0018446	Solyc01g089857.1.1	
OG0018447	Solyc01g089915.1.1	
OG0018448	Solyc01g090050.4.1	
OG0018449	Solyc01g090060.1.1	
OG0018450	Solyc01g090150.1.1	
OG0018451	Solyc01g090160.4.1	
OG0018452	Solyc01g090220.4.1	
OG0018453	Solyc01g090310.3.1	
OG0018454	Solyc01g090320.4.1	
OG0018455	Solyc01g090460.3.1	
OG0018456	Solyc01g090500.4.1	
OG0018457	Solyc01g090515.1.1	
OG0018458	Solyc01g090540.1.1	
OG0018459	Solyc01g091090.4.1	
OG0018460	Solyc01g091440.4.1	
OG0018461	Solyc01g091490.3.1	
OG0018462	Solyc01g091790.2.1	
OG0018463	Solyc01g091865.1.1	
OG0018464	Solyc01g094160.1.1	
OG0018465	Solyc01g094300.1.1	
OG0018466	Solyc01g094320.3.1	
OG0018467	Solyc01g094430.1.1	
OG0018468	Solyc01g094470.4.1	
OG0018469	Solyc01g094590.4.1	
OG0018470	Solyc01g094870.3.1	
OG0018471	Solyc01g094915.1.1	
OG0018472	Solyc01g094980.1.1	
OG0018473	Solyc01g095060.4.1	
OG0018474	Solyc01g095140.4.1	
OG0018475	Solyc01g095220.2.1	
OG0018476	Solyc01g095330.2.1	
OG0018477	Solyc01g095350.2.1	
OG0018478	Solyc01g095380.1.1	
OG0018479	Solyc01g095490.3.1	
OG0018480	Solyc01g095560.3.1	
OG0018481	Solyc01g095680.2.1	
OG0018482	Solyc01g150148.1.1	
OG0018483	Solyc01g095895.1.1	
OG0018484	Solyc01g095905.1.1	
OG0018485	Solyc01g096270.3.1	
OG0018486	Solyc01g096290.4.1	
OG0018487	Solyc01g096330.2.1	
OG0018488	Solyc01g096405.1.1	
OG0018489	Solyc01g096420.3.1	
OG0018490	Solyc01g150149.1.1	
OG0018491	Solyc01g096580.3.1	
OG0018492	Solyc01g096630.3.1	
OG0018493	Solyc01g096660.3.1	
OG0018494	Solyc01g096770.2.1	
OG0018495	Solyc01g096950.4.1	
OG0018496	Solyc01g096970.3.1	
OG0018497	Solyc01g097020.4.1	
OG0018498	Solyc01g097060.3.1	
OG0018499	Solyc01g097150.4.1	
OG0018500	Solyc01g097170.3.1	
OG0018501	Solyc01g097200.1.1	
OG0018502	Solyc01g097400.1.1	
OG0018503	Solyc01g097420.1.1	
OG0018504	Solyc01g097480.1.1	
OG0018505	Solyc01g097870.3.1	
OG0018506	Solyc01g097900.1.1	
OG0018507	Solyc01g097990.3.1	
OG0018508	Solyc01g098120.2.1	
OG0018509	Solyc01g098130.2.1	
OG0018510	Solyc01g098260.1.1	
OG0018511	Solyc01g098290.1.1	
OG0018512	Solyc01g098420.3.1	
OG0018513	Solyc01g098540.3.1	
OG0018514	Solyc01g098555.1.1	
OG0018515	Solyc01g098660.2.1	
OG0018516	Solyc01g098730.2.1	
OG0018517	Solyc01g098890.1.1	
OG0018518	Solyc01g098910.3.1	
OG0018519	Solyc01g099070.1.1	
OG0018520	Solyc01g099080.4.1	
OG0018521	Solyc01g099420.3.1	
OG0018522	Solyc01g099450.4.1	
OG0018523	Solyc01g099470.3.1	
OG0018524	Solyc01g099510.2.1	
OG0018525	Solyc01g099530.3.1	
OG0018526	Solyc01g099565.1.1	
OG0018527	Solyc01g099570.4.1	
OG0018528	Solyc01g099580.3.1	
OG0018529	Solyc01g099640.4.1	
OG0018530	Solyc01g099890.3.1	
OG0018531	Solyc01g099920.4.1	
OG0018532	Solyc01g100140.4.1	
OG0018533	Solyc01g100300.3.1	
OG0018534	Solyc01g150151.1.1	
OG0018535	Solyc01g100470.2.1	
OG0018536	Solyc01g100480.3.1	
OG0018537	Solyc01g100870.3.1	
OG0018538	Solyc01g101015.1.1	
OG0018539	Solyc01g102270.2.1	
OG0018540	Solyc01g102280.3.1	
OG0018541	Solyc01g150152.1.1	
OG0018542	Solyc01g102420.1.1	
OG0018543	Solyc01g102430.2.1	
OG0018544	Solyc01g102460.4.1	
OG0018545	Solyc01g102620.3.1	
OG0018546	Solyc01g102650.2.1	
OG0018547	Solyc01g102760.3.1	
OG0018548	Solyc01g102860.2.1	
OG0018549	Solyc01g103000.3.1	
OG0018550	Solyc01g103070.2.1	
OG0018551	Solyc01g103120.3.1	
OG0018552	Solyc01g103170.4.1	
OG0018553	Solyc01g103260.2.1	
OG0018554	Solyc01g103270.4.1	
OG0018555	Solyc01g103330.3.1	
OG0018556	Solyc01g103380.4.1	
OG0018557	Solyc01g103460.2.1	
OG0018558	Solyc01g103470.2.1	
OG0018559	Solyc01g103500.4.1	
OG0018560	Solyc01g103590.4.1	
OG0018561	Solyc01g103770.3.1	
OG0018562	Solyc01g103790.3.1	
OG0018563	Solyc01g103920.3.1	
OG0018564	Solyc01g104150.4.1	
OG0018565	Solyc01g104330.1.1	
OG0018566	Solyc01g104360.1.1	
OG0018567	Solyc01g104370.4.1	
OG0018568	Solyc01g104380.3.1	
OG0018569	Solyc01g104420.1.1	
OG0018570	Solyc01g150158.1.1	
OG0018571	Solyc01g150160.1.1	
OG0018572	Solyc01g150162.1.1	
OG0018573	Solyc01g104440.1.1	
OG0018574	Solyc01g104447.1.1	
OG0018575	Solyc01g104520.3.1	
OG0018576	Solyc01g150163.1.1	
OG0018577	Solyc01g104595.1.1	
OG0018578	Solyc01g104620.4.1	
OG0018579	Solyc01g150165.1.1	
OG0018580	Solyc01g104890.4.1	
OG0018581	Solyc01g104940.2.1	
OG0018582	Solyc01g105035.1.1	
OG0018583	Solyc01g105190.4.1	
OG0018584	Solyc01g105200.2.1	
OG0018585	Solyc01g105430.4.1	
OG0018586	Solyc01g105440.1.1	
OG0018587	Solyc01g105470.4.1	
OG0018588	Solyc01g105475.1.1	
OG0018589	Solyc01g105490.4.1	
OG0018590	Solyc01g105530.3.1	
OG0018591	Solyc01g105570.4.1	
OG0018592	Solyc01g105750.1.1	
OG0018593	Solyc01g105950.3.1	
OG0018594	Solyc01g106070.2.1	
OG0018595	Solyc01g106110.2.1	
OG0018596	Solyc01g106170.4.1	
OG0018597	Solyc01g150166.1.1	
OG0018598	Solyc01g150168.1.1	
OG0018599	Solyc01g150169.1.1	
OG0018600	Solyc01g106290.3.1	
OG0018601	Solyc01g106300.3.1	
OG0018602	Solyc01g106310.3.1	
OG0018603	Solyc01g106380.2.1	
OG0018604	Solyc01g106500.4.1	
OG0018605	Solyc01g106540.4.1	
OG0018606	Solyc01g106850.1.1	
OG0018607	Solyc01g106930.3.1	
OG0018608	Solyc01g106950.3.1	
OG0018609	Solyc01g106953.1.1	
OG0018610	Solyc01g106955.1.1	
OG0018611	Solyc01g106960.2.1	
OG0018612	Solyc01g106967.1.1	
OG0018613	Solyc01g107060.2.1	
OG0018614	Solyc01g107230.2.1	
OG0018615	Solyc01g107270.4.1	
OG0018616	Solyc01g107300.4.1	
OG0018617	Solyc01g107420.2.1	
OG0018618	Solyc01g107440.2.1	
OG0018619	Solyc01g107470.4.1	
OG0018620	Solyc01g107475.1.1	
OG0018621	Solyc01g107530.1.1	
OG0018622	Solyc01g107570.1.1	
OG0018623	Solyc01g107600.3.1	
OG0018624	Solyc01g107680.4.1	
OG0018625	Solyc01g107690.4.1	
OG0018626	Solyc01g107925.1.1	
OG0018627	Solyc01g150170.1.1	
OG0018628	Solyc01g108040.1.1	
OG0018629	Solyc01g108060.2.1	
OG0018630	Solyc01g108170.3.1	
OG0018631	Solyc01g108220.3.1	
OG0018632	Solyc01g108350.4.1	
OG0018633	Solyc01g108380.2.1	
OG0018634	Solyc01g108414.1.1	
OG0018635	Solyc01g108420.2.1	
OG0018636	Solyc01g108517.1.1	
OG0018637	Solyc01g108550.1.1	
OG0018638	Solyc01g108590.1.1	
OG0018639	Solyc01g108680.4.1	
OG0018640	Solyc01g108730.2.1	
OG0018641	Solyc01g108760.1.1	
OG0018642	Solyc01g108770.1.1	
OG0018643	Solyc01g108790.3.1	
OG0018644	Solyc01g108835.1.1	
OG0018645	Solyc01g108910.4.1	
OG0018646	Solyc01g109190.1.1	
OG0018647	Solyc01g109210.2.1	
OG0018648	Solyc01g109275.1.1	
OG0018649	Solyc01g109440.2.1	
OG0018650	Solyc01g109490.4.1	
OG0018651	Solyc01g109615.1.1	
OG0018652	Solyc01g109670.3.1	
OG0018653	Solyc01g109760.3.1	
OG0018654	Solyc01g110140.4.1	
