Orthogroup	pepper	lycopersicum
OG0000013	PHT69258.1, PHT61699.1	Solyc11g040410.1.1
OG0000013	PHT61762.1, PHT61353.1, PHT61357.1, PHT75663.1, PHT61759.1, PHT69435.1, PHT61350.1	Solyc11g065780.3.1
OG0000017	PHT72823.1	Solyc10g050993.1.1
OG0000017	PHT74805.1	Solyc07g018023.1.1, Solyc05g050887.1.1, Solyc12g005615.1.1, Solyc12g042845.1.1, Solyc10g045437.1.1, Solyc05g008495.1.1, Solyc03g078627.1.1, Solyc07g051883.1.1, Solyc06g048943.1.1, Solyc04g017625.1.1, Solyc07g018027.1.1, Solyc10g076435.1.1, Solyc05g051385.1.1, Solyc07g009477.1.1, Solyc07g015873.1.1, Solyc10g051255.1.1, Solyc12g042215.1.1, Solyc02g005604.1.1, Solyc02g005335.1.1, Solyc03g096307.1.1, Solyc01g016725.1.1, Solyc03g096437.1.1, Solyc01g066065.1.1, Solyc10g047828.1.1, Solyc02g077865.1.1, Solyc12g040575.1.1, Solyc09g020017.1.1, Solyc01g028875.1.1, Solyc08g014612.1.1, Solyc08g066927.1.1, Solyc08g083385.1.1, Solyc02g050263.1.1, Solyc02g031985.1.1, Solyc08g067765.1.1, Solyc02g082125.1.1, Solyc07g052365.1.1, Solyc10g085205.1.1, Solyc07g062345.1.1, Solyc07g051887.1.1, Solyc03g082845.1.1, Solyc04g011965.1.1, Solyc10g049585.1.1, Solyc10g076565.1.1, Solyc04g054735.1.1, Solyc09g042725.1.1, Solyc02g090397.1.1, Solyc07g061895.1.1, Solyc05g006325.1.1, Solyc01g067403.1.1, Solyc12g077395.1.1, Solyc05g018407.1.1, Solyc01g103045.1.1, Solyc04g074865.1.1, Solyc04g055225.1.1, Solyc12g039205.1.1, Solyc06g048817.1.1, Solyc03g083725.1.1, Solyc04g053033.1.1, Solyc05g025953.1.1, Solyc03g034394.1.1, Solyc01g066575.1.1, Solyc11g039785.1.1, Solyc10g078275.1.1, Solyc08g065163.1.1
OG0000017	PHT84246.1	Solyc06g008053.1.1, Solyc06g062445.1.1, Solyc03g044748.1.1, Solyc07g049635.1.1, Solyc06g009015.1.1, Solyc02g068295.1.1, Solyc07g019433.1.1, Solyc10g018777.1.1, Solyc07g055577.1.1, Solyc12g062203.1.1, Solyc06g072695.1.1, Solyc03g083965.1.1
OG0000020	PHT82094.1, PHT78093.1, PHT61083.1, PHT64479.1, PHT78729.1, PHT74108.1, PHT68436.1, PHT65238.1, PHT81810.1, PHT68803.1, PHT72719.1, PHT95670.1, PHT89720.1, PHT86174.1, PHT66185.1, PHT74089.1, PHT66932.1, PHT82058.1, PHT69815.1, PHT89687.1, PHT86173.1, PHT61208.1, PHT73051.1, PHT94005.1, PHT95678.1, PHT86579.1, PHT79156.1, PHT65070.1, PHT65234.1, PHT75586.1, PHT95341.1, PHT70793.1, PHT83415.1, PHT83800.1, PHT81222.1, PHT75541.1, PHT72912.1, PHT72920.1, PHT65484.1, PHT76358.1, PHT78971.1, PHT83711.1, PHT65797.1, PHT79840.1, PHT66104.1, PHT89652.1, PHT92499.1, PHT78712.1, PHT70412.1, PHT81296.1, PHT82057.1, PHT67917.1, PHT74402.1, PHT83379.1, PHT76650.1, PHT72991.1, PHT70096.1, PHT83080.1, PHT94298.1, PHT66446.1, PHT71043.1, PHT78092.1, PHT85799.1, PHT89144.1, PHT83732.1, PHT66088.1, PHT76910.1, PHT65887.1, PHT95870.1, PHT89968.1	Solyc04g051293.1.1
OG0000021	PHT93278.1, PHT64323.1, PHT86292.1, PHT88215.1, PHT75658.1, PHT93798.1, PHT70111.1, PHT81402.1, PHT83465.1, PHT92901.1, PHT86594.1, PHT94928.1, PHT69464.1, PHT60830.1, PHT73207.1, PHT73256.1, PHT89227.1, PHT78490.1, PHT86864.1, PHT69057.1, PHT83088.1, PHT83976.1, PHT84225.1, PHT83422.1, PHT86678.1, PHT70666.1, PHT67581.1, PHT94491.1, PHT61789.1, PHT87382.1, PHT68923.1, PHT76375.1, PHT72595.1, PHT91589.1, PHT68124.1, PHT69236.1, PHT91321.1, PHT86677.1, PHT88623.1, PHT76710.1, PHT95614.1, PHT81884.1, PHT92359.1, PHT79106.1, PHT83975.1, PHT66281.1, PHT93892.1, PHT80192.1, PHT94984.1, PHT62940.1, PHT95711.1, PHT81797.1, PHT93499.1, PHT68746.1, PHT65833.1, PHT75779.1, PHT67972.1, PHT64935.1, PHT82023.1, PHT64324.1, PHT77780.1, PHT76610.1, PHT87249.1, PHT88214.1, PHT95109.1, PHT75657.1, PHT81838.1, PHT86293.1, PHT94428.1	Solyc02g077060.2.1
OG0000022	PHT61846.1, PHT63932.1, PHT96034.1, PHT77754.1, PHT75426.1, PHT77753.1, PHT84092.1, PHT61140.1, PHT61842.1, PHT67160.1, PHT61073.1, PHT66923.1, PHT67103.1, PHT67105.1, PHT63616.1, PHT61051.1, PHT61387.1, PHT67120.1, PHT61138.1, PHT61847.1, PHT85695.1, PHT67109.1, PHT85694.1, PHT67140.1, PHT67159.1, PHT67107.1, PHT61844.1, PHT61411.1, PHT61843.1, PHT61139.1, PHT67118.1, PHT67123.1, PHT61408.1, PHT67162.1, PHT66925.1, PHT66916.1, PHT61407.1, PHT61405.1, PHT61412.1, PHT67157.1, PHT83130.1, PHT81968.1, PHT85696.1, PHT61141.1, PHT61841.1, PHT85132.1, PHT67169.1, PHT75428.1, PHT67104.1, PHT61142.1, PHT74448.1, PHT61388.1, PHT67139.1, PHT84221.1, PHT83514.1, PHT67102.1, PHT67150.1, PHT66868.1, PHT51489.1, PHT85133.1, PHT61137.1, PHT61446.1, PHT61409.1, PHT67121.1, PHT60823.1, PHT63615.1, PHT67106.1, PHT67119.1	Solyc10g051220.3.1
OG0000023	PHT91576.1	Solyc02g090400.4.1
OG0000023	PHT63914.1, PHT77267.1, PHT71185.1, PHT78697.1, PHT72414.1, PHT84854.1, PHT89204.1, PHT89143.1, PHT66680.1, PHT62352.1, PHT94114.1, PHT65210.1, PHT66184.1, PHT62848.1, PHT75669.1, PHT65383.1, PHT71295.1, PHT68667.1, PHT65074.1, PHT95569.1, PHT72391.1, PHT62794.1, PHT62167.1, PHT65799.1, PHT71817.1, PHT77974.1, PHT75438.1, PHT67748.1, PHT70016.1, PHT68144.1, PHT86222.1, PHT78989.1, PHT74651.1, PHT79170.1, PHT71353.1, PHT67960.1, PHT62262.1, PHT95117.1, PHT74042.1, PHT66231.1, PHT92632.1, PHT86740.1, PHT89347.1, PHT78219.1, PHT66503.1, PHT79401.1, PHT75381.1, PHT79169.1, PHT88729.1, PHT74430.1, PHT70350.1, PHT81850.1, PHT68699.1, PHT66173.1, PHT95260.1, PHT81804.1, PHT92371.1, PHT82890.1, PHT84305.1, PHT79345.1, PHT87862.1, PHT86859.1, PHT79408.1, PHT84839.1	Solyc10g054060.2.1
OG0000024	PHT85622.1	Solyc12g038900.1.1
OG0000024	PHT63815.1, PHT86721.1, PHT63809.1, PHT67670.1, PHT63834.1, PHT75719.1, PHT63817.1, PHT63835.1, PHT85471.1, PHT85182.1, PHT85181.1, PHT85179.1, PHT63805.1, PHT63806.1, PHT85178.1, PHT75422.1, PHT72134.1, PHT75337.1, PHT66165.1, PHT67809.1, PHT87051.1, PHT87052.1, PHT73249.1, PHT93761.1, PHT82411.1, PHT70302.1, PHT75748.1, PHT73377.1, PHT66839.1, PHT63807.1, PHT63813.1, PHT85790.1, PHT63822.1, PHT63811.1, PHT72218.1, PHT63821.1, PHT63823.1, PHT63810.1, PHT86720.1, PHT63830.1, PHT85180.1, PHT85623.1, PHT63826.1, PHT63818.1, PHT63812.1, PHT76973.1, PHT63825.1, PHT67671.1, PHT70626.1, PHT63831.1, PHT85564.1, PHT63832.1, PHT63833.1, PHT85562.1, PHT86722.1, PHT63808.1, PHT63814.1, PHT75720.1, PHT85621.1, PHT63816.1, PHT86723.1, PHT85789.1, PHT85563.1, PHT67669.1	Solyc09g064680.3.1
